Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
Evolve Stage 2	273350	Action, Free to Play	Action, Multiplayer, Co-op, FPS, Online Co-Op, Shooter, Team-Based, Survival, Sci-fi, Aliens, PvP, First-Person, Class-Based, Strategy, Atmospheric, Third Person, Tactical, Singleplayer, Stealth, Casual	48471	69.7	0.7	Sin registro de tiempo	Sin registro de tiempo	NA	Turtle Rock Studios	2K	10-Feb-2015	X	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Core 2 Duo E6600 \/ Athlon 64 X2 6400Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 560 \/ ATI Radeon HD 5770DirectX: Version 11Storage: 25 GB available spaceSound Card: DirectX Compliant Sound card 	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Core i7-920 \/ A8-3870KMemory: 6 GB RAMGraphics: NVIDIA GeForce GTX 670 \/ ATI Radeon R9 280DirectX: Version 11Storage: 25 GB available spaceSound Card: DirectX Compliant Sound card
Middle-earth™: Shadow of Mordor™	241930		Open World, Action, Fantasy, Adventure, Third Person, Stealth, Singleplayer, RPG, Action RPG, Assassin, Hack and Slash, Gore, Parkour, Atmospheric, Story Rich, Dark Fantasy, Magic, Lore-Rich, Based On A Novel, Sandbox	78100	92.3	0.4	16	32	NA	Monolith Productions	Warner Bros. Interactive Entertainment, Warner Bros. Games	30-Sep-2014	NA	OS: 64-bit: Vista SP2, Win 7 SP1, Win 8.1Processor: Intel Core i5-750, 2.67 GHz  |  AMD Phenom II X4 965, 3.4 GHzMemory: 3 GB RAMGraphics: NVIDIA GeForce GTX 460  |  AMD Radeon HD 5850DirectX: Version 11Network: Broadband Internet connectionStorage: 44 GB available space 	OS: 64-bit: Win 7 SP1, Win 8.1Processor: Intel Core i7-3770, 3.4 GHz  |  AMD FX-8350, 4.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 660  |  AMD Radeon HD 7950DirectX: Version 11Network: Broadband Internet connectionStorage: 57 GB available space
The Elder Scrolls IV: Oblivion 	22330	RPG	RPG, Open World, Fantasy, Singleplayer, Moddable, First-Person, Adventure, Exploration, Great Soundtrack, Magic, Action, Character Customization, Story Rich, Atmospheric, Sandbox, Medieval, Classic, Action RPG, Third Person, Dark Fantasy	39410	95.6	0.3	27	184	NA	Bethesda Game Studios	Bethesda Softworks	16-Jun-2009	NA	OS: Windows XP, Windows 2000, Windows XP 64-Bit\t\t\t\t\tProcessor: 2 Ghz Intel Pentium 4 or equivalent\t\t\t\t\tMemory: 512 MB\t\t\t\t\tGraphics: 128 MB Direct3D compatible video card and DirectX 9.0 compatible driver\t\t\t\t\tDirectX®: DirectX 9.0c\t\t\t\t\tHard Drive: 4.6 GB \t\t\t\t\tSound: DirectX 8.1 compatible \t\t\t\t\t	NA
Stronghold Kingdoms	47410	Free to Play, Massively Multiplayer, Strategy	Strategy, Free to Play, Medieval, Massively Multiplayer, City Builder, Multiplayer, Building, Real-Time, War, RTS, PvP, Base-Building, Sandbox, Simulation, Colony Sim, Grand Strategy, Idler, Real Time Tactics, Wargame, Isometric	8796	64.7	0.3	Sin registro de tiempo	Sin registro de tiempo	NA	FireFly Studios	FireFly Studios	27-Feb-2012	NA	OS: Windows 7\/8\/10\/11 (Windows Update Recommended)Processor: 1GHz or FasterMemory: 512Mb RAM for Windows XP (1GB for Windows Vista &amp; 7\/8\/10)Hard Disk Space: 500 Mb of Hard Drive Space\tVideo Card: DirectX 9 Compatible Graphics Card	NA
Psychonauts	3830	Action	Platformer, Comedy, Adventure, Cult Classic, Singleplayer, Action, Funny, Third Person, 3D Platformer, Classic, Story Rich, Psychological, Great Soundtrack, Surreal, Cartoony, Collectathon, Exploration, Action-Adventure, 3D, 3D Vision	15212	95.2	0.1	12	21	NA	Double Fine Productions	Double Fine Productions	11-Oct-2006	NA	OS: Windows 98 SE\/2000\/XP\tProcessor: 1.0 GHz Pentium(R) III and AMD Athlon(tm)\tMemory: 256 MB of RAM\tGraphics: 64 MB GeForce (tm) 3 or higher or ATI(R) Radeon 8500 or higher (except GeForce 4 MX and Go series)\tDirectX®: version 9.0 or higher (included with game)\tHard Drive: 3.75 GB minimum hard drive space\tSound: DirectX&amp;reg 9.0 or higher compatible sound card\tControls: Windows-compatible keyboard and mouse OS: Windows 2000\/XP\tProcessor: 2.0 GHz Pentium(R) IV and AMD Athlon(tm)\tMemory: 512 MB of RAM\tGraphics: , 128 MB GeForce FX 5600 or higher or ATI(R) Radeon 9600 or higher\tDirectX®: version 9.0 or higher (included with game)\tHard Drive: 6.0 GB minimum hard drive space\tSound: DirectX&amp;reg 9.0 or higher and Sound Blaster Audigy 2 series sound card\tControls: Game Pad (optional)	NA
Labyrinth	412310	Free to Play, Indie, RPG, Strategy, Early Access	Card Game, Turn-Based Tactics, Strategy, Free to Play, Early Access, Trading Card Game, Asynchronous Multiplayer, Indie, Tactical RPG, RPG, Turn-Based, Multiplayer, Dungeon Crawler	275	66.9	0.1	Sin registro de tiempo	Sin registro de tiempo	NA	Free Range Games	Free Range Games	07-Mar-2016	X	OS: Windows 7+Processor: 2GHz+ (SSE2 instruction set support)Memory: 2 GB RAMGraphics: 1 GB Video RAMDirectX: Version 10Network: Broadband Internet connectionStorage: 2 GB available spaceSound Card: DirectX 9.0c compatible sound card with latest driversAdditional Notes: Disk space requirement will increase as content is added to the game throughout Early Access	NA
Portal with RTX	2012840		NA	0	NA	NA	3	10	NA			08-Dec-2022	NA	MINIMUM: OS: 64-bit Windows 10 \/ Windows 11Processor: Intel i7-6700, AMD Ryzen 5 3600Memory: 16 GB RAMGraphics: NVIDIA GeForce RTX 3060Storage: 25 GB available spaceRECOMMENDED:OS: 64-bit Windows 10 \/ Windows 11Processor: Intel i7-6700, AMD Ryzen 5 3600Memory: 16 GB RAMGraphics: NVIDIA GeForce RTX 3080Storage: 25 GB SSD available space ULTRA:OS: 64-bit Windows 10 \/ Windows 11Processor: Intel i7-12700K, AMD Ryzen 9 5900Memory: 32 GB RAMGraphics: NVIDIA GeForce RTX 4080Storage: 25 GB SSD available space	NA
Skyrim Script Extender (SKSE)	365720	RPG	Mod, Utilities, RPG, Game Development, Singleplayer	1028	98.3	NA	NA	NA	NA	The SKSE Team	The SKSE Team	12-Aug-2015	NA	OS: Windows XP or newerProcessor: Dual Core 2.0GHz or equivalent processorMemory: 2 GB RAMGraphics: Direct X 9.0c compliant video card with 512 MB of RAMDirectX: Version 9.0Storage: 6 GB available spaceSound Card: DirectX compatible sound card	NA
ARK: Survival Evolved	346110	Action, Adventure, Indie, Massively Multiplayer, RPG	Open World Survival Craft, Survival, Open World, Multiplayer, Dinosaurs, Crafting, Building, Adventure, Base-Building, Co-op, Action, First-Person, Sandbox, Massively Multiplayer, Singleplayer, Early Access, RPG, Dragons, Sci-fi, Indie	602903	83	NA	55	525	NA	Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC	Studio Wildcard	27-Aug-2017	NA	OS: Windows 7\/8.1\/10 (64-bit versions)Processor: Intel Core i5-2400\/AMD FX-8320 or betterMemory: 8 GB RAMGraphics: NVIDIA GTX 670 2GB\/AMD Radeon HD 7870 2GB or betterDirectX: Version 10Storage: 60 GB available spaceAdditional Notes: Requires broadband internet connection for multiplayer	NA
ARK: Survival Of The Fittest	407530	Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy	Free to Play, Survival, Dinosaurs, Multiplayer, Open World, Action, Adventure, Massively Multiplayer, PvP, Early Access, Dragons, Crafting, RPG, First-Person, Singleplayer, Strategy, Exploration, FPS, Sandbox, Indie	10668	64.7	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC	Studio Wildcard	29-Aug-2017	NA	Requires a 64-bit processor and operating systemOS: 64-Bit Windows 7 Service Pack 1, or Windows 8\/10Processor: 2 GHz Dual-Core 64-bit CPUMemory: 4000 MB RAMGraphics: GTX 500 or Above DirectX10 Compatible GPU with 2 GB or More Video RAMDirectX: Version 10Storage: 37000 MB available space 	Requires a 64-bit processor and operating system
