Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
Counter-Strike: Global Offensive	730	Action, Free to Play	FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, e-sports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable	6875316	88.4	640	55	773	NA	Valve, Hidden Path Entertainment	Valve	21-Aug-2012	NA	OS: Windows® 7\/Vista\/XPProcessor: Intel® Core™ 2 Duo E6600 or AMD Phenom™ X3 8750 processor or betterMemory: 2 GB RAMGraphics: Video card must be 256 MB or more and should be a DirectX 9-compatible with support for Pixel Shader 3.0DirectX: Version 9.0cStorage: 15 GB available space	NA
Sid Meier's Civilization VI	289070	Strategy	Strategy, Turn-Based Strategy, Multiplayer, Historical, Singleplayer, Turn-Based, Grand Strategy, 4X, War, Simulation, City Builder, Tactical, Building, Management, Great Soundtrack, Moddable, Online Co-Op, Co-op, Hex Grid, Atmospheric	251165	84.5	233	22	293	NA	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	2K, Aspyr (Mac), Aspyr (Linux)	20-Oct-2016	NA	Requires a 64-bit processor and operating systemOS: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Intel Core i3 2.5 Ghz or AMD Phenom II 2.6 Ghz or greaterMemory: 4 GB RAMGraphics: 1 GB &amp; AMD 5570 or nVidia 450 or Intel Integrated Graphics 530DirectX: Version 11Storage: 12 GB available spaceSound Card: DirectX Compatible Sound DeviceAdditional Notes: Initial installation requires one-time Internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. Internet connection and acceptance of Steam™ Subscriber Agreement required for activation. See www.steampowered.com\/agreement for details. 	Requires a 64-bit processor and operating systemOS: Windows 7x64 \/ Windows 8.1x64 \/ Windows 10x64Processor: Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greaterMemory: 8 GB RAMGraphics: 2GB &amp; AMD 7970 or nVidia 770 or greaterDirectX: Version 11Storage: 12 GB available spaceSound Card: DirectX Compatible Sound Device
The Elder Scrolls V: Skyrim	72850	RPG	Open World, RPG, Fantasy, Adventure, Dragons, Moddable, First-Person, Action, Medieval, Singleplayer, Magic, Story Rich, Great Soundtrack, Sandbox, Lore-Rich, Atmospheric, Character Customization, Action RPG, Third Person, Epic	312145	94.9	159	34	232	NA	Bethesda Game Studios	Bethesda Softworks	10-Nov-2011	NA	\t\t\t\t\t\t\t\tOS: Windows 7\/Vista\/XP PC (32 or 64 bit)\t\t\t\t\t\t\t\tProcessor: Dual Core 2.0GHz or equivalent processor\t\t\t\t\t\t\t\tMemory: 2GB System RAM\t\t\t\t\t\t\t\tHard Disk Space: 6GB free HDD Space\t\t\t\t\t\t\t\tVideo Card: Direct X 9.0c compliant video card with 512 MB of RAM\t\t\t\t\t\t\t\tSound: DirectX compatible sound card\t\t\t\t\t\t\t\t 	\t\t\t\t\t\t\t\tProcessor: Quad-core Intel or AMD CPU\t\t\t\t\t\t\t\tMemory: 4GB System RAM\t\t\t\t\t\t\t\tVideo Card: DirectX 9.0c compatible NVIDIA or AMD ATI video card with 1GB of RAM (Nvidia GeForce GTX 260 or higher; ATI Radeon 4890 or higher)\t\t\t\t\t\t\t\t
Sid Meier's Civilization V	8930	Strategy	Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical, 4X, Addictive, Singleplayer, Hex Grid, Grand Strategy, Replay Value, Co-op, Economy, Tactical, Diplomacy, Moddable, Simulation, Classic, Great Soundtrack, Touch-Friendly	189663	96.2	154	40	403	NA	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	2K, Aspyr (Mac), Aspyr (Linux)	23-Sep-2010	NA	\t\t\t\t\tOS: Windows® Vista SP2\/ Windows® 7 \t\t\t\t\t\tProcessor: Intel Core 2 Duo 1.8 GHz or AMD Athlon X2 64 2.0 GHz\t\t\t\t\t\tMemory: 2GB RAM \t\t\t\t\t\tGraphics:256 MB ATI HD2600 XT or better, 256 MB nVidia 7900 GS or better, or Core i3 or better integrated graphics \t\t\t\t\t\tDirectX®: DirectX® version 9.0c \t\t\t\t\t\tHard Drive: 8 GB Free \t\t\t\t\t\tSound: DirectX 9.0c-compatible sound card \t\t\t\t\t\tNote: Optimized for the touch-screen Ultrabook™ device\t\t\t\t\t 	\t\t\t\t\tOS: Windows® Vista SP2\/ Windows® 7 \t\t\t\t\t\tProcessor: 1.8 GHz Quad Core CPU \t\t\t\t\t\tMemory: 4 GB RAM \t\t\t\t\t\tGraphics: 512 MB ATI 4800 series or better, 512 MB nVidia 9800 series or better\t\t\t\t\t\tDirectX®: DirectX® version 11\t\t\t\t\t\tHard Drive: 8 GB Free \t\t\t\t\t\tSound: DirectX 9.0c-compatible sound card \t\t\t\t\t\tNote: Optimized for the touch-screen Ultrabook™ device\t\t\t\t\t
Left 4 Dead 2	550	Action	Zombies, Co-op, FPS, Multiplayer, Shooter, Action, Online Co-Op, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical	699958	97.5	118	10	53	NA	Valve	Valve	16-Nov-2009	NA	OS: Windows® 7 32\/64-bit \/ Vista 32\/64 \/ XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card 	OS: Windows® 7 32\/64-bit \/ Vista 32\/64 \/ XPProcessor: Intel core 2 duo 2.4GHzMemory: 2 GB RAMGraphics: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card
Cookie Clicker	1454400	Casual, Indie, Simulation, Strategy	Clicker, Idler, Casual, Indie, Pixel Graphics, Management, Collectathon, Economy, Funny, Memes, Building, Strategy, Resource Management, 2D, Comedy, Simulation, Colorful, Touch-Friendly, Horror, Singleplayer	40309	97.3	117	140	560	NA	Orteil, DashNet	Playsaurus	01-Sep-2021	NA	OS: Microsoft® Windows Server 2008, Windows 7, or Windows 8 ClassicProcessor: 2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devicesMemory: 512 MB RAMStorage: 350 MB available space	NA
Apex Legends	1172470	Action, Adventure, Free to Play	Free to Play, Multiplayer, Battle Royale, Shooter, FPS, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Character Customization, Funny, Loot, Lore-Rich, Co-op, Cyberpunk, Cinematic	574043	84	89	35	118	NA	Respawn Entertainment	Electronic Arts	04-Nov-2020	NA	Requires a 64-bit processor and operating systemOS: 64-bit Windows 7Processor: AMD FX 4350 or Equivalent, Intel Core i3 6300 or EquivalentMemory: 6 GB RAMGraphics: AMD Radeon™ HD 7730, NVIDIA GeForce® GT 640DirectX: Version 11Network: Broadband Internet connectionStorage: 56 GB available spaceAdditional Notes: ~3.8GB for 1 localized language 	Requires a 64-bit processor and operating systemOS: 64-bit Windows 7Processor: Ryzen 5 CPU or EquivalentMemory: 8 GB RAMGraphics: AMD Radeon™ R9 290, NVIDIA GeForce® GTX 970DirectX: Version 11Network: Broadband Internet connectionStorage: 56 GB available spaceAdditional Notes: ~3.8GB for 1 localized language
ELDEN RING	1245620	Action, RPG	Souls-like, Dark Fantasy, RPG, Open World, Difficult, Action RPG, Third Person, Fantasy, Multiplayer, Singleplayer, Online Co-Op, Action, PvP, Co-op, Violent, Atmospheric, Great Soundtrack, 3D, Character Customization, Family Friendly	623590	91.5	83	55	133	NA	FromSoftware Inc.	FromSoftware Inc., Bandai Namco Entertainment	24-Feb-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: INTEL CORE I5-8400 or AMD RYZEN 3 3300XMemory: 12 GB RAMGraphics: NVIDIA GEFORCE GTX 1060 3 GB or AMD RADEON RX 580 4 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10\/11Processor: INTEL CORE I7-8700K or AMD RYZEN 5 3600XMemory: 16 GB RAMGraphics: NVIDIA GEFORCE GTX 1070 8 GB or AMD RADEON RX VEGA 56 8 GBDirectX: Version 12Storage: 60 GB available spaceSound Card: Windows Compatible Audio DeviceAdditional Notes: 
DiRT Rally 2.0	690790	Racing, Simulation, Sports	Racing, Automobile Sim, Simulation, Multiplayer, Sports, Driving, Realistic, Offroad, VR, Singleplayer, Difficult, First-Person, Open World, Co-op, Controller, 3D Vision, Family Friendly, TrackIR, Action, Adventure	31446	86.5	71	13	161	NA	Codemasters	Codemasters, Electronic Arts	25-Feb-2019	NA	Requires a 64-bit processor and operating systemOS: 64bit versions of Windows® 7, Windows® 8, Windows® 10Processor: AMD FX4300 or Intel Core i3 2130Memory: 8 GB RAMGraphics: AMD HD7750 or NVIDIA GTX650TiDirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX® Compatible soundcardVR Support: SteamVR or Oculus PC 	Requires a 64-bit processor and operating systemOS: 64bit versions of Windows® 7, Windows® 8, Windows® 10Processor: AMD Ryzen 5 2600X or Intel Core i5 8600KMemory: 8 GB RAMGraphics: AMD RX Vega 56 or NVIDIA GTX 1070DirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceSound Card: DirectX® Compatible soundcard
Life is Feudal: Your Own	290080	Action, Indie, RPG, Simulation	Open World Survival Craft, Medieval, Open World, Survival, Crafting, Sandbox, Building, Multiplayer, RPG, Simulation, Co-op, MMORPG, Action, Adventure, Massively Multiplayer, Indie, Strategy, Atmospheric, Historical, Singleplayer	11577	66.1	54	0	116	NA	Bitbox Ltd.	Bitbox Ltd.	17-Nov-2015	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (64 bit) (SP1)Processor: Intel® Core™ i5 or AMD Phenom II X4 with at least 2,5 GHzMemory: 4 GB RAMGraphics: GeForce 460\/Radeon HD 5850\/Intel HD 4600 with at least 1024 MB video RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 5 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 7 (64 bit) (SP1), Windows 10 (64 bit)Processor: Intel® Core™ i7 or AMD Phenom II X6 with at least 3,5 GHzMemory: 8 GB RAMGraphics: GeForce 660\/Radeon HD 6970DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available space
Z1 Battle Royale	433850	Action, Adventure, Free to Play, Massively Multiplayer	Survival, Massively Multiplayer, Multiplayer, Open World, Battle Royale, PvP, FPS, Action, Shooter, Free to Play, Third-Person Shooter, Zombies, Co-op, Early Access, Online Co-Op, Adventure, First-Person, Violent, Gore, Walking Simulator	207430	55.5	46	69	0	NA	Daybreak Game Company	Daybreak Game Company	28-Feb-2018	NA	OS: Windows 7, 8, 8.1, 10 (64 bit only)Processor: Intel i5 Quad-CoreMemory: 6 GB RAMGraphics: nVidia GeForce GTX 460 series or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible Sound Card 	OS: Windows 7, 8, 8.1, 10 (64 bit only)Processor: Intel Core i5-6600K \/ AMD Ryzen 5 1600Memory: 8 GB RAMGraphics: NVIDIA GeForce GTX 960 2GB \/ AMD Radeon R7 370 2GB or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX compatible Sound Card
Crusader Kings III	1158310	RPG, Simulation, Strategy	Strategy, RPG, Grand Strategy, Medieval, Simulation, Historical, War, Political, Management, Character Customization, Singleplayer, Choices Matter, Multiplayer, Sandbox, Moddable, Real-Time with Pause, Sexual Content, PvP, Nudity, Dating Sim	85694	92.4	44	70	716	NA	Paradox Development Studio	Paradox Interactive	01-Sep-2020	NA	Requires a 64-bit processor and operating systemOS: Windows® 8.1 64 bit \/ Windows® 10 Home 64 bitProcessor: Intel® Core™ i3-2120 \/ AMD® FX 6350Memory: 6 GB RAMGraphics: Nvidia® GeForce™ GTX 660 (2GB) \/ AMD® Radeon™ HD 7870 (2GB) \/ Intel® Iris Pro™ 580 \/ Intel® Iris® Plus G7 \/ AMD® Radeon™ Vega 11Storage: 8 GB available space 	Requires a 64-bit processor and operating systemOS: Windows® 10 Home 64 bitProcessor: Intel® Core™ i5-4670K \/ AMD® Ryzen™ 5 2400GMemory: 8 GB RAMGraphics: Nvidia® GeForce™ GTX 1650 (4GB) \/ AMD® Radeon™ R9 390X (8GB)Storage: 8 GB available space
The Elder Scrolls Online	306130	Action, Adventure, Massively Multiplayer, RPG	RPG, MMORPG, Open World, Adventure, Fantasy, Exploration, Multiplayer, Singleplayer, Action, Massively Multiplayer, PvP, Character Customization, PvE, Lore-Rich, Choose Your Own Adventure, Story Rich, Class-Based, Magic, Action RPG, Atmospheric	129232	81.8	42	42	447	NA	ZeniMax Online Studios	Bethesda Softworks	22-May-2017	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Intel® Core i3 540 or AMD A6-3620 or higherMemory: 3 GB RAMGraphics: Direct X 11.0 compliant video card with 1GB RAM (NVidia GeForce 460 or AMD Radeon 6850)DirectX: Version 11Network: Broadband Internet connectionStorage: 85 GB available spaceSound Card: DirectX compatible sound card 	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: Intel® Core i5 2300 or AMD FX4350Memory: 8 GB RAMGraphics: Direct X 11.0 compliant video card with 2GB RAM (NVIDIA® GeForce® GTX 750 or AMD Radeon™ HD 7850) or higherDirectX: Version 11Network: Broadband Internet connectionStorage: 85 GB available spaceSound Card: DirectX compatible sound card
Rocksmith® 2014 Edition - Remastered	221680	Casual, Simulation	Music, Education, Simulation, Rhythm, Great Soundtrack, Casual, Local Co-Op, Singleplayer, Rock Music, Difficult, Co-op, Moddable, Multiplayer	20750	90.5	38	NA	NA	NA	Ubisoft - San Francisco	Ubisoft	04-Oct-2016	NA	OS:Windows Vista, Windows 7, Windows 8\tProcessor:2.66 GHz Intel Core2 Duo E6750 or 2.8 GHz AMD Athlon 64 X2 5600+\tMemory:2 GB RAM\tGraphics:256 MB DirectX 9 \/ NVIDIA® GeForce® 8600 GT or ATI Radeon™ HD 2600 XT\tHard Drive:12 GB HD space\tSound:DirectX 9.0c-compliant 	OS:Windows Vista, Windows 7, Windows 8\tProcessor:3.1 GHz Intel Core i3-540 or 3.3 GHz Athlon II X3 455\tMemory:4 GB RAM\tGraphics:512MB Nvidia GT 240 or 512 MB ATI Radeon HD 5670\tHard Drive:12 GB HD space\tSound:DirectX 9.0c-compliant
Just Survive	295110	Action, Adventure, Massively Multiplayer	Zombies, Survival, Open World, Multiplayer, Massively Multiplayer, Crafting, Post-apocalyptic, Action, Survival Horror, Co-op, Shooter, Adventure, Sandbox, Exploration, FPS, Walking Simulator, Horror, Early Access, Simulation, RPG	78875	59	35	0	66	NA	Daybreak Game Company	Daybreak Game Company	15-Jan-2015	X	OS: Windows 7, 8, 8.1, 10 (64 bit only)Processor: Intel i3 Dual-Core with Hyper-Threading (required)Memory: 4 GB RAMGraphics: nVidia GeForce GTX 275 series or higher \/ AMD Radeon HD 4870 X2 series or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible Sound Card 	OS: Windows 7, 8, 8.1, 10 (64 bit only)Processor: Intel i5 Quad Core or higher \/ AMD Phenom II X6 or higherMemory: 8 GB RAMGraphics: nVidia GeForce GTX 960 series or higher \/ AMD Radeon R9 280X series or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX compatible Sound Card
God of War	1593500	Action, Adventure, RPG	Action, Singleplayer, Adventure, Story Rich, Mythology, Combat, Third Person, RPG, Violent, Fantasy, Hack and Slash, Exploration, Atmospheric, Gore, Emotional, Action RPG, Open World, Souls-like, 3D, PvE	89183	97.1	32	21	51	NA	Santa Monica Studio	PlayStation PC LLC	14-Jan-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel i5-2500k (4 core 3.3 GHz) or AMD Ryzen 3 1200 (4 core 3.1 GHz)Memory: 8 GB RAMGraphics: NVIDIA GTX 960 (4 GB) or AMD R9 290X (4 GB)DirectX: Version 11Storage: 70 GB available spaceAdditional Notes: DirectX feature level 11_1 required 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel i5-6600k (4 core 3.5 GHz) or AMD Ryzen 5 2400 G (4 core 3.6 GHz)Memory: 8 GB RAMGraphics: NVIDIA GTX 1060 (6 GB) or AMD RX 570 (4 GB)DirectX: Version 11Storage: 70 GB available spaceAdditional Notes: DirectX feature level 11_1 required
SYNTHETIK	528230	Action, Indie	Rogue-lite, Top-Down Shooter, Indie, Action Roguelike, Action, Online Co-Op, Difficult, Co-op, Shooter, Rogue-like, Twin Stick Shooter, Isometric, Top-Down, Robots, Cyberpunk, Bullet Hell, Great Soundtrack, Multiplayer, Singleplayer, Tactical	11259	94.6	29	Sin registro de tiempo	Sin registro de tiempo	NA	Flow Fire Games	Flow Fire Games, WhisperGames	15-Mar-2018	NA	OS: Windows XP SP3, Vista or higherProcessor: Intel Celeron G1820 2.7 GHz \/ AMD FX 8320 3.5 GHzMemory: 4 GB RAMGraphics: GeForce GTX 460, Radeon HD 5770, 768 MB VramDirectX: Version 11Storage: 600 MB available space 	OS: Windows XP SP3, Vista or higherProcessor: Intel Core i3-4160 3.6 GHz \/ AMD QC A8-7670K 3.6GHzMemory: 4 GB RAMGraphics: GeForce GTX 560+ Series, Radeon R9 270+DirectX: Version 11Network: Broadband Internet connectionStorage: 600 MB available space
Life is Strange™	319630	Action, Adventure	Story Rich, Choices Matter, Great Soundtrack, Female Protagonist, Time Travel, Atmospheric, Episodic, Singleplayer, Adventure, Time Manipulation, Multiple Endings, Mystery, Third Person, Point & Click, Indie, Walking Simulator, Casual, Action, Memes, LGBTQ+	158883	96.1	25	14	18	NA	DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	Square Enix, Feral interactive (Mac), Feral Interactive (Linux)	29-Jan-2015	NA	OS: Windows VistaProcessor: Dual Core 2.0GHz or equivalentMemory: 2 GB RAMGraphics: ATI or NVidia card w\/ 512 MB RAM (not recommended for Intel HD Graphics cards)DirectX: Version 9.0Storage: 5 GB available space 	OS: Windows 7Processor: Dual Core 3.0GHz or equivalentMemory: 2 GB RAMGraphics: ATI or NVidia card w\/ 1024 MB RAM (NVIDIA GeForce GTX 260 or ATI HD 4890)DirectX: Version 9.0Storage: 14 GB available space
Fall Guys	1097150	Action, Casual, Indie, Massively Multiplayer, Sports	Multiplayer, Party Game, Family Friendly, Battle Royale, Massively Multiplayer, Platformer, Cute, Funny, PvP, 3D Platformer, Controller, Colorful, Casual, Action, Online Co-Op, Co-op, Comedy, Physics, Indie, Difficult	473406	81.3	24	9	89	NA	Mediatonic	DSQ	03-Aug-2020	X	Requires a 64-bit processor and operating systemOS: Windows 10 64bit onlyProcessor: Intel Core i5 or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 660 or AMD Radeon HD 7950Network: Broadband Internet connectionStorage: 2 GB available spaceAdditional Notes: Gamepad Recommended 	Requires a 64-bit processor and operating system
Dota 2	570	Action, Free to Play, Strategy	Free to Play, MOBA, Multiplayer, Strategy, e-sports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation	1915172	82.8	22	692	1641	NA	Valve	Valve	09-Jul-2013	NA	OS: Windows 7 or newerProcessor: Dual core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: NVIDIA GeForce 8600\/9600GT, ATI\/AMD Radeon HD2600\/3600DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 15 GB available spaceSound Card: DirectX Compatible	NA
Euro Truck Simulator 2	227300	Indie, Simulation	Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Immersive Sim, Exploration, Economy, Management, Atmospheric, Multiplayer, Controller, Third Person, Family Friendly, Casual, Adventure, Indie	615809	97.4	22	45	422	NA	SCS Software	SCS Software	12-Oct-2012	NA	OS: Windows 7Processor: Dual core CPU 2.4 GHzMemory: 4 GB RAMGraphics: GeForce GTS 450-class (Intel HD 4000)Hard Drive: 12 GB available space 	OS: Windows 7\/8.1\/10 64-bitProcessor: Quad core CPU 3.0 GHzMemory: 6 GB RAMGraphics: GeForce GTX 760-class (2 GB)Hard Drive: 12 GB available space
War of the Roses	42160	Action	Medieval, Action, Multiplayer, Third Person, Historical, PvP, Swordplay, War, Competitive, Horses, Fighting, RPG, Difficult, Massively Multiplayer, FPS, Strategy, Singleplayer, Hack and Slash, Adventure, First-Person	4461	56.8	22	8	50	NA	Fatshark	Paradox Interactive	NA	X	NA	NA
Dungeons 2	262280	RPG, Simulation, Strategy	Strategy, RPG, Management, Fantasy, Dungeon Crawler, RTS, Villain Protagonist, Comedy, Simulation, Multiplayer, Singleplayer, Funny, Competitive, Base-Building, Top-Down, Building, God Game, Sandbox, Tower Defense, Adventure	4869	81.3	19.0	15	26	NA	Realmforge Studios	Kalypso Media Digital	24-Apr-2015	NA	OS: Windows Vista (SP2) 32bitProcessor: AMD or Intel, 3GHz Dual-Core or 2.6 GHz Quad-CoreMemory: 3 GB RAMGraphics: Intel HD4400, NVIDIA GeForce GT 440\/GT 650M, AMD Radeon HD 7750\/R5 255MStorage: 5 GB available spaceSound Card: DirectX compatible 	OS: Windows 7 x64 (SP1)Processor: AMD Quad-Core @ 3.8 GHz or Intel Quad-Core @ 3.2 GHzMemory: 4 GB RAMGraphics: AMD Radeon R7 265 or NVIDIA GeForce GTX 650Storage: 5 GB available spaceSound Card: DirectX compatible
DiRT Rally	310560	Racing, Simulation, Sports	Racing, Simulation, Automobile Sim, Driving, Multiplayer, Realistic, Offroad, Difficult, Singleplayer, VR, Sports, First-Person, Action, Atmospheric, Fast-Paced, Co-op, 3D Vision, TrackIR, Open World, Family Friendly	38451	87.8	18.6	28	144	NA	Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)	Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts	07-Dec-2015	X	OS: 64bit Versions of Windows 7, Windows 8, Windows 10Processor: AMD FX Series or Intel Core i3 SeriesMemory: 4 GB RAMGraphics: AMD HD5450 or Nvidia GT430 or Intel HD4000 with 1GB of VRAM (DirectX 11 graphics card required)DirectX: Version 11Storage: 50 GB available spaceSound Card: DirectX Compatible soundcardAdditional Notes: Supported Graphics Cards: AMD HD5000 Series, HD6000 Series, HD7000 Series, R7 Series, R9 Series Nvidia GTX400 Series, GTX500 Series, GTX600 Series, GTX700 Series, GTX900 Series Intel HD4000 Series, HD5000 Series 	OS: 64bit Versions of Windows 7, Windows 8, Windows 10Processor: AMD FX-8150 or Intel Core i5 4670KMemory: 8 GB RAMGraphics: AMD R9 290 or Nvidia GTX780DirectX: Version 11Storage: 50 GB available spaceSound Card: Direct X compatible soundcardAdditional Notes: Supported Graphics Cards:  AMD HD5000 Series, HD6000 Series, HD7000 Series, R7 Series, R9 Series Nvidia GTX400 Series, GTX500 Series, GTX600 Series, GTX700 Series, GTX900 Series Intel HD4000 Series, HD5000 Series, HD6000 Series
Life is Strange: Before the Storm	554620	Action, Adventure	Story Rich, Choices Matter, Great Soundtrack, Female Protagonist, Atmospheric, Singleplayer, Episodic, Adventure, Choose Your Own Adventure, Multiple Endings, Third Person, Drama, Mystery, Action, Indie, Walking Simulator, LGBTQ+, Point & Click, Psychological Horror, Memes	35828	93.2	17.1	10	13	NA	Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)	Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)	31-Aug-2017	NA	Requires a 64-bit processor and operating systemOS: Windows 7 or above (64-bit Operating System Required)Processor: Intel Core i3-2100 (3.1GHz) or AMD Phenom X4 945 (3.0GHz)Memory: 3 GB RAMGraphics: AMD Radeon R7 250 or NVIDIA Geforce GTX 650DirectX: Version 11Storage: 14 GB available spaceAdditional Notes: Please note that 32-bit operating systems will not be supported. 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Intel Core i3-6100 (3.7GHz) or AMD Athlon X4 845 (3.5GHz)Memory: 6 GB RAMGraphics: AMD Radeon RX 460 or NVIDIA Geforce 1050DirectX: Version 11Storage: 14 GB available spaceAdditional Notes: Please note that 32-bit operating systems will not be supported.
Just Cause 3	225540	Action, Adventure	Open World, Action, Destruction, Third-Person Shooter, Multiplayer, Singleplayer, Adventure, Shooter, Sandbox, Third Person, Exploration, Physics, Funny, Atmospheric, Co-op, Parkour, Comedy, Great Soundtrack, Moddable, RPG	106615	82.6	15.0	18	61	NA	Avalanche Studios	Square Enix	30-Nov-2015	NA	OS: Vista SP2 \/ Windows 7.1 SP1 \/ Windows 8.1 (64-bit Operating System Required)Processor: Intel Core i5-2500k, 3.3GHz \/ AMD Phenom II X6 1075T 3GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 670 (2GB) \/ AMD Radeon HD 7870 (2GB)Storage: 54 GB available space 	OS: Vista SP2 \/ Windows 7.1 SP1 \/ Windows 8.1 (64-bit Operating System Required)Processor: Intel Core i7-3770, 3.4 GHz \/ AMD FX-8350, 4.0 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 780 (3GB) \/ AMD R9 290 (4GB)Storage: 54 GB available space
Warface	291480	Action, Adventure, Free to Play, Massively Multiplayer, RPG, Simulation, Strategy	Free to Play, Realistic, FPS, Multiplayer, Shooter, Action, PvP, Co-op, Gun Customization, Character Customization, First-Person, Tactical, Online Co-Op, Strategy, Massively Multiplayer, Military, Team-Based, Moddable, Adventure, Class-Based	80249	67.5	14.0	30	43	NA	MY.GAMES	MY.GAMES	01-Jul-2014	NA	Requires a 64-bit processor and operating systemOS: Windows 7, Windows 8, Windows 10Processor: Core i3-530 \/ AMD Athlon II X3 415eMemory: 4 GB RAMGraphics: GeForce 250 GTS \/ Radeon HD 4850DirectX: Version 10Network: Broadband Internet connectionStorage: 35 GB available spaceSound Card: DirectX Compatible Sound Card with latest drivers 	Requires a 64-bit processor and operating systemOS: Windows 7, Windows 8, Windows 10Processor: Core i5 3470 \/ AMD Athlon 240GEMemory: 6 GB RAMGraphics: GeForce 1050 Ti \/ Radeon R9 380DirectX: Version 11Network: Broadband Internet connectionStorage: 35 GB available spaceSound Card: DirectX Compatible Sound Card with latest drivers
