Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Crasher	90800		NA	0	NA	0.02	No time registered yet	No time registered yet	1	15.8 ± NA	15.8	0	NA	NA	2018-06-11			NA	X	NA	NA
Shatter	20820	Action, Indie	Great Soundtrack, Indie, Arcade, Action, Local Co-Op, Fast-Paced, Singleplayer, Co-op, Psychedelic, Stylized, Sci-fi, Local Multiplayer, Space, Casual, Rhythm, Adventure, Soundtrack, Electronic Music	1290	93.7	0.02	3	5	30	18.48 ± 25.77	0.6	0	NA	NA	2022-05-18	Sidhe	PikPok	15-Mar-2010	NA	OS *: Windows XP SP3 or higher Processor: 2.0 GHz+ single-core or dual-core (any speed) Memory: 512 MB Hard Drive: 250 MB of free space Graphics: 128MB dedicated graphics processor with shader model 2 support (e.g. NVIDIA GeForce FX 5600 or ATi Radeon 9600) Sound: DirectX 9.0c compatible audio card DirectX®: 9.0c	NA
Worms Armageddon	217200	Strategy	Strategy, Multiplayer, Classic, Turn-Based, Turn-Based Strategy, Funny, 2D, Local Multiplayer, Comedy, Co-op, Physics, Local Co-Op, Action, Party, Singleplayer, Platformer, 1990's, Retro, Online Co-Op, Adventure	10107	94.2	0.02	8	23	NA	NA	NA	NA	NA	NA	2018-05-27	Team17 Digital Ltd	Team17 Digital Ltd	19-Mar-2013	NA	OS *: Windows XP or above Processor: Intel Core 2 Duo, AMD 64x2 or above Memory: 2 GB RAM Graphics: Nvidia GeForce 8600GT (256MB), AMD\/ATI Radeon HD3650 (256MB), Intel HD3000 or above DirectX®: 9.0 Hard Drive: 2 GB HD space Sound: DirectX 9 compliant sound card or above Other Requirements: Broadband Internet connection	NA
Law & Order: Legacies	205330	Adventure, Casual	Adventure, Casual, Crime, Point & Click	106	81.1	0.02	7	12	NA	NA	NA	NA	NA	NA	2018-11-14	Telltale Games	Telltale Games	NA	X	OS *: XP Service Pack 3 \/ Vista \/ Windows 7 Processor: 1.8 GHz Pentium 4 or equivalent Memory: 2 GB RAM Hard Disk Space: 2 GB Space Free Video Card: ATI or NVidia card w\/ 256 MB RAM DirectX®: Direct X 9.0c Sound: Direct X 8.1 sound device	NA
Grand Theft Auto	12170	Action	Action, Classic, Automobile Sim, Open World, 2D, Singleplayer, Crime, 1990's, Top-Down, Adventure, Difficult, Multiplayer, Pixel Graphics, Shooter, Atmospheric, Retro, 1980s	400	83.8	0.02	14	17	NA	NA	NA	NA	NA	NA	2015-03-03	Rockstar North	Rockstar Games	NA	X	NA	NA
King’s Bounty: Legions	235400	Adventure, Free To Play, Indie, Massively Multiplayer, RPG, Strategy	Free to Play, Strategy, RPG, Turn-Based, Adventure, Massively Multiplayer, Turn-Based Strategy, Indie, Fantasy	1299	53.7	0.02	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	NA	2022-06-14	Nival	Nival	10-Dec-2013	X	OS *: Windows 7Processor: 1 GHzMemory: 2 GB RAMGraphics: any graphic card with 1 GB VRAMNetwork: Broadband Internet connectionStorage: 1 GB available spaceSound Card: anyAdditional Notes: none 	OS *: Windows 7Processor: Dual Core 2 GHzMemory: 4 GB RAMGraphics: any graphic card with 1 GB VRAMNetwork: Broadband Internet connectionStorage: 1 GB available spaceSound Card: anyAdditional Notes: none
FEZ	224760	Indie	Platformer, Indie, Puzzle, Pixel Graphics, Exploration, Great Soundtrack, Singleplayer, Adventure, Casual, Mystery, Puzzle-Platformer, 2D, Beautiful, Relaxing, Atmospheric, 2.5D, Cute, Retro, Controller, Metroidvania	15562	92.7	0.02	6	12	12	24.23 ± 20.53	7.5	0	NA	NA	2020-05-25	Polytron Corporation	Trapdoor	01-May-2013	NA	OS *:Windows XP Processor:Intel Core 2 Duo 2.8Ghz or equivalent Memory:2 GB RAM Graphics:2nd Generation Intel Core HD Graphics (2000\/3000), or dedicated GPU with OpenGL 3.0 Support Hard Drive:500 MB HD space Sound:OpenAL-compatible Additional:See  for details on Intel HD Graphics support, not all models are supported. Latest graphics drivers are required to maximize OpenGL feature compatibility. 	OS *:Windows 7 Memory:4 GB RAM Graphics:nVidia GeForce GT 240 or better Additional:See  for details on Intel HD Graphics support, not all models are supported. Latest graphics drivers are required to maximize OpenGL feature compatibility.
SONIC THE HEDGEHOG 4 Episode II	203650	Adventure	Adventure, Platformer, Co-op, Action, 2D, Local Co-Op, Great Soundtrack, Local Multiplayer, Online Co-Op, Fast-Paced, Singleplayer, Colorful, 2.5D, Family Friendly, Multiplayer, Side Scroller, 2D Platformer	2081	74	0.02	3	10	12	17.25 ± 22.7	3.6	0	NA	NA	2017-07-01	SEGA	SEGA	14-May-2012	NA	OS *: Windows XP\/Vista\/Win7 Processor: Pentium 4 @ 3.2 GHz\/Athlon 64 3000+ or Equivalent &amp; above Memory: 1 GB (2 GB on Vista) Graphics: 256 MB (NVIDIA GeForce 8600\/AT Radeon HD3650) &amp; above DirectX®: DirectX 9c Hard Drive: 6 GB Free Sound: DirectX Compatible 	OS *: Windows 7 Processor: Intel Core 2 DUO @ 2.4 GHz\/Athlon 64 X2 4200+ &amp; above Memory: 2 GB+  Graphics: 512 MB (NVIDIA GeForce 8800\/ATI Radeon HD 3800) &amp; above DirectX®: DirectX 11 Hard Drive: 6 GB Free Sound: DirectX Compatible
Shadow Man	251770	Action	Action, Horror, Cult Classic, Singleplayer, Third Person, Adventure, Dark, Atmospheric, Great Soundtrack, Classic, 1990's, Supernatural, Metroidvania, Comic Book, Old School, Retro	709	87.3	0.02	15	22	NA	NA	NA	NA	NA	NA	2017-01-18	Acclaim Studios Teesside	Nightdive Studios	18-Oct-2013	X	OS *: Windows XP \/ Vista \/ 7Processor: Pentium 200 MhzMemory: 32 MB RAMGraphics: Direct3D compatible 3D accelerator cardDirectX: Version 6.1Storage: 3 GB available spaceSound Card: DirectX compatible sound cardAdditional Notes: Mask of Shadows Not Included 	OS *: Windows 7Processor: Pentium 400 MhzMemory: 64 MB RAMGraphics: Direct3D compatible 3D accelerator cardDirectX: Version 6.1Storage: 3 GB available spaceSound Card: DirectX compatible sound card
Actua Soccer 3	285030		NA	0	NA	0.02	0	19	NA	NA	NA	NA	NA	NA	2015-08-08			NA	X	NA	NA
