Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Clouzy!	1493360	Adventure, Indie, Simulation	Indie, Cute, Farming Sim, Exploration, Colorful, Singleplayer, Relaxing, Adventure, Cooking, Collectathon, Fantasy, Simulation, First-Person, Management, Character Customization, Family Friendly, LGBTQ+, Open World, Resource Management, 3D	58	55.2	0	0	6	19	0	NA	NA	NA	Tinymoon	Freedom Games	24-Feb-2022	NA	OS: Windows Vista or higherProcessor: 2 GHzMemory: 2 GB RAMGraphics: 2 GB Video MemoryDirectX: Version 11Storage: 1 GB available space 	OS: Windows Vista or higherProcessor: 2 GHzMemory: 2 GB RAMGraphics: 2 GB Video MemoryDirectX: Version 11Storage: 1 GB available space
FIFA 22	1506830	Simulation, Sports	Football (Soccer), Sports, Multiplayer, Controller, Competitive, Simulation, Local Multiplayer, Singleplayer, Online Co-Op, Local Co-Op, Realistic, PvP, e-sports, Family Friendly, Team-Based, Immersive Sim, Physics, Co-op, Cinematic, Sexual Content	117611	80.3	0	51	379	37	0	NA	NA	NA	EA Canada &amp; EA Romania	Electronic Arts	01-Oct-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10 - 64-BitProcessor: Intel Core i3-6100 @ 3.7GHz or AMD Athlon X4 880K @4GHzMemory: 8 GB RAMGraphics: NVIDIA GTX 660 2GB or AMD Radeon HD 7850 2GBStorage: 50 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10 - 64-BitProcessor: Intel i5-3550 @ 3.40GHz or AMD FX 8150 @ 3.6GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 670 or AMD Radeon R9 270XNetwork: Broadband Internet connectionStorage: 50 GB available space
Doctor Who: The Lonely Assassins	1508270	Adventure, Casual, Indie	Casual, Adventure, Puzzle, Interactive Fiction, Visual Novel, Psychological Horror, Horror, Immersive Sim, Singleplayer, Investigation, Cinematic, 2D, FMV, Text-Based, Demons, Detective, Mystery, Sci-fi, Indie	626	89.3	0	3	3	NA	NA	NA	NA	NA	Kaigan Games OÜ	Maze Theory, Another Indie	18-Mar-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 7Processor: Intel Core i3, Ryzen 3 or equivalentMemory: 4 GB RAMGraphics: nVidia GeForce 8800 GT, AMD Radeon HD 2400, Intel HD or any graphics card \/ APUs released from 2012 onwardsDirectX: Version 9.0cStorage: 2 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core i5, Ryzen 5 or equivalentMemory: 8 GB RAMGraphics: nVidia GTX 1060, AMD RX 480 or betterDirectX: Version 9.0cStorage: 2 GB available spaceAdditional Notes: Headphones recommended.
Cloud Climber	1509820	Adventure, Casual, Free to Play, Indie	Free to Play, Walking Simulator, Casual, Adventure, Atmospheric, Singleplayer, First-Person, Post-apocalyptic, Exploration, Relaxing, 3D, Story Rich, Stylized, Puzzle, Hand-drawn, Dark Fantasy, Great Soundtrack, Fantasy, Alternate History, Funny	3830	92	0	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	Two Star Games	Two Star Games	14-Jan-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64-bitProcessor: 2.5 GHz Quad-core Intel or AMD processorMemory: 4 GB RAMGraphics: NVIDIA GeForce 470 GTX or AMD Radeon 6870 HDStorage: 300 MB available spaceAdditional Notes: Game includes adjustable graphics settings to aid lower end devices. 	Requires a 64-bit processor and operating system
Shing!	1103730	Action, Adventure, Indie	Beat 'em up, Side Scroller, Action Roguelike, Hack and Slash, Spectacle fighter, 2D Fighter, Character Action Game, Fighting, PvE, Arcade, 2.5D, Swordplay, Cartoony, Action, Colorful, Anime, Demons, Fantasy, Ninja, Score Attack	319	75.5	0	5	10	40	0	NA	NA	NA	Mass Creation	We Dig Games, NA Publishing Inc., WhisperGames	28-Aug-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 7 SP1, 8, 10Processor: Intel i3 2100+ or AMD FX-4100+Memory: 2 GB RAMGraphics: 512 MB VRAM, nVidia GT 720+ or AMD HD 5450+ or Intel HD Graphics 5000+DirectX: Version 11Network: Broadband Internet connectionStorage: 5 GB available spaceSound Card: DirectX compatible 	Requires a 64-bit processor and operating systemOS: Windows 7 SP1, 8, 10Processor: Intel i5 2400+ or AMD Phenom II X4 850+Memory: 4 GB RAMGraphics: 1024 MB VRAM, nVidia GTX 750+ or AMD Radeon HD 7770M+ or Intel HD Graphics 5300+DirectX: Version 11Network: Broadband Internet connectionStorage: 5 GB available spaceSound Card: DirectX compatible
Kingdom Builders	1514980	Action, Indie, RPG, Strategy, Early Access	City Builder, Strategy, Colony Sim, Action RPG, Building, Exploration, Action, Party-Based RPG, RPG, Top-Down, Cute, Base-Building, Management, Medieval, Survival, Crafting, Combat, Singleplayer, Early Access, Indie	261	58.6	0	NA	NA	NA	NA	NA	NA	NA	ebb &amp; flow games	ebb &amp; flow games	24-Jun-2021	X	Requires a 64-bit processor and operating systemOS: Windows 10 64bit onlyProcessor: Intel i5 (Haswell or later)  or AMD equivalentMemory: 6 GB RAMGraphics: NVIDIA GTX 660 or AMD Radeon HD 7950DirectX: Version 11Storage: 4 GB available space 	Requires a 64-bit processor and operating systemMemory: 6 GB RAM
From the darkness	1517340	Adventure, Indie	Horror, Psychological Horror, Indie, Dark, First-Person, Multiplayer, Walking Simulator, Adventure, Atmospheric, Survival Horror, 3D, Singleplayer, Linear, Realistic, Violent, Mystery, Co-op	2209	90	0	1	2	NA	NA	NA	NA	NA	N4bA	N4bA	30-Mar-2021	NA	OS: windows 7, 8, 10Processor: Intel CORE i5Graphics: gtx 750 TiStorage: 1250 MB available space 	OS: windows 7, 8, 10Processor: Intel CORE i5Graphics: gtx 750 Ti
Peaky Blinders: Mastermind	1013310	Adventure, Indie, Strategy	Strategy, Adventure, Indie, Violent, Puzzle, Crime, Time Management, Singleplayer, Time Manipulation, Stealth	887	77.2	0	6	12	30	0	NA	NA	NA	FuturLab	Curve Games	20-Aug-2020	X	Requires a 64-bit processor and operating systemOS: Windows 7\/8.1\/10 x64Processor: Intel i5-760 (4*2800) or equivalentMemory: 8 GB RAMGraphics: GeForce GTX 760DirectX: Version 11Storage: 5 GB available space 	Requires a 64-bit processor and operating system
Smoke and Sacrifice	695100	Adventure, Indie, RPG	RPG, Adventure, Female Protagonist, Survival, Crafting, Indie, 2D, Singleplayer, Open World	404	76.7	0	11	20	32	0	NA	NA	NA	Solar Sail Games Ltd	Curve Games	31-May-2018	NA	OS: Windows 7\/8\/8.1\/10 (32-bit)Processor: Intel® Core™ i3-4130 \/ AMD Phenom™ II X4 or equivalentMemory: 4 GB RAMGraphics: NVIDIA® GeForce® GTX 650 \/ AMD Radeon™ HD 5770 \/ Intel® HD Graphics 530 or equivalentDirectX: Version 11Storage: 4 GB available space 	OS: Windows 7\/8\/8.1\/10 (32-bit)Processor: Intel® Core i5-6400 \/ AMD FX 6300 or equivalent Memory: 8Gb RAMMemory: 8 GB RAMGraphics: nVidia® Geforce® GTX 650 \/ AMD Radeon™ HD 5770 or equivalentDirectX: Version 11Storage: 4 GB available space
Coloring Game 4	1554790	Casual, Free to Play, Indie	Free to Play, Indie, Casual, Design & Illustration, Pixel Graphics, Colorful, Relaxing, Singleplayer, Great Soundtrack, Short, Puzzle, Point & Click	1497	93.9	0	6	142	410	0	NA	NA	NA	L. Stotch	L. Stotch	30-Jul-2021	NA	OS: Windows 7Processor: 1000 MHzMemory: 1024 MB RAMGraphics: Hardware support WebGL - OpenGL 2.1 (GPU Memory - 512MB)Storage: 212 MB available space	NA
Beside Myself	1564110	Adventure, Indie, Simulation	Adventure, Simulation, Walking Simulator, 3D Platformer, Exploration, Hidden Object, 3D, Cinematic, First-Person, Psychedelic, Realistic, Atmospheric, Detective, Historical, Psychological Horror, Horror, Story Rich, Linear, Singleplayer, Gore	249	70.3	0	1	2	6	0	NA	NA	NA	ASK_GAMES	ASK_GAMES	27-Jul-2021	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required)Processor: Intel® Core™ i5-3470 or AMD Ryzen™ 3 1200Memory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 760 2GB or AMD Radeon R9 280 3GBDirectX: Version 11Storage: 10 GB available space 	Requires a 64-bit processor and operating systemOS: WINDOWS® 7, 8, 8.1, 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 16 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB Video RAMDirectX: Version 11Storage: 10 GB available space
FGTeeV Goozy	1564340	Adventure	Singleplayer, Family Friendly, Survival, Aliens, Puzzle, Adventure, Exploration, Colorful, First-Person, Stealth, Mystery Dungeon, Action-Adventure, Mystery, Atmospheric, Gore, Sexual Content, Horror	67	91	0	NA	NA	11	0	NA	NA	NA	PHL Collective	BDT Digital	07-Sep-2021	X	OS: Windows 10 \/ 8 \/ 7Processor: Intel Core i5-2500K 3.3GHz \/ AMD FX-8150 3.6GHz or equivalentMemory: 4 GB RAMGraphics: GeForce GTX 550 Ti \/ Radeon HD 6790 2GBDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX compatible soundcard 	OS: 64 bit Windows 10 \/ 8 \/ 7Processor: Intel Core i5-4460 3.2 GHz \/ AMD Ryzen 5 1600X 3.6GHzMemory: 8 GB RAMGraphics: GeForce GTX 960 \/ Radeon HD 7950 3GB VRAMDirectX: Version 11Storage: 6 GB available spaceSound Card: DirectX compatible soundcard
XCOM: Enemy Unknown	200510	Strategy	Turn-Based Strategy, Tactical, Strategy, Sci-fi, Turn-Based, Aliens, Singleplayer, Base-Building, Turn-Based Tactics, Unforgiving, Replay Value, Addictive, Character Customization, Perma Death, Multiplayer, Difficult, RPG, Action, Atmospheric, Futuristic	52091	94.4	0	27	65	85	0	NA	NA	NA	Firaxis Games, Feral Interactive (Linux)	2K, Feral Interactive (Linux)	11-Oct-2012	NA	OS:Windows Vista Processor:2 GHz Dual Core  Memory:2 GB RAM Graphics:NVIDIA GeForce 8600 GT \/ ATI Radeon HD 2600 XT or greater  DirectX®:9.0 Hard Drive:20 GB HD space Sound:DirectX Compatible Other Requirements:Broadband Internet connection Additional:Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Visual C++ 2008 Redistributable, DirectX and Microsoft .NET 4. 	OS:Windows 7  Processor:2 GHz Dual Core (Intel Core 2 Duo 2.4 GHz or Athlon X2 2.7 GHz) Memory:4 GB RAM Graphics:NVIDIA GeForce 9000 series \/ ATI Radeon HD 3000 series or greater DirectX®:9.0 Hard Drive:20 GB HD space Sound:DirectX Compatible Other Requirements:Broadband Internet connection Additional:Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include Steam Client, Visual C++ 2008 Redistributable, DirectX and Microsoft .NET 4.
XCOM: Chimera Squad	882100	Strategy	Strategy, Turn-Based Tactics, Turn-Based, Turn-Based Strategy, Aliens, Singleplayer, Sci-fi, Futuristic, Tactical, Turn-Based Combat, RPG, Character Customization, Tactical RPG, Multiplayer, Action, Moddable	21117	72.3	0	21	56	40	0	NA	NA	NA	Firaxis Games	2K	23-Apr-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 7, 64-bitProcessor: 2.4 GHz Quad CoreMemory: 4 GB RAMGraphics: 1GB AMD Radeon HD 7770, NVIDIA GeForce 650 or betterDirectX: Version 11Storage: 18 GB available spaceSound Card: DirectX CompatibleAdditional Notes: Microsoft Visual C++ 2012 and 2015 Runtime Libraries, and Microsoft DirectX. 	Requires a 64-bit processor and operating systemOS: Windows 7 64bit \/ Windows 8.1 64bit \/ Windows 10 64bitProcessor: 3GHz Quad CoreMemory: 4 GB RAMGraphics: 2GB AMD Radeon HD R9 290, NVIDIA GeForce GTX 980 or betterDirectX: Version 11Storage: 18 GB available spaceSound Card: DirectX Compatible
Tell Me Why	1180660	Adventure	Choices Matter, Story Rich, Adventure, LGBTQ+, Episodic, Emotional, Choose Your Own Adventure, Walking Simulator, Cinematic, Exploration, Atmospheric, Third Person, Drama, Multiple Endings, Action-Adventure, Mystery, Singleplayer, Dynamic Narration, Beautiful, Conversation	10343	83.9	0	10	13	30	0	NA	NA	NA	DONTNOD Entertainment	Xbox Game Studios	27-Aug-2020	NA	OS: Windows 7 64-bit version 1903 or higherProcessor: Intel core i3 4130 (3.4 Ghz 2C \/ 4T) AMD FX 4300 (3.8 Ghz 4C \/ 4T)Memory: 4 GB RAMGraphics: Nvidia GTX 750Ti or Nvidia GTX 1050 or AMD Radeon R7 260X or AMD Radeon RX 560DirectX: Version 11Storage: 25 GB available space 	OS: Windows 7 64-bit version 1903 or higherProcessor: Intel i5 4570 (3.2 GHz) or AMD Ryzen 3 1300X (3.5 GHz)Memory: 8 GB RAMGraphics: Nvidia GeForce GTX 970 or Nvidia GeForce GTX 1060 or AMD Radeon R9 290X or  AMD Radeon RX 480DirectX: Version 12Storage: 25 GB available space
