Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Red Faction: Armageddon	55110	Action	Action, Destruction, Sci-fi, Third Person, Third-Person Shooter, Singleplayer, Shooter, Co-op, Mars, Aliens, Multiplayer, Adventure, Linear, Open World, Horror, FPS, Physics, Space, Gore	4561	72.7	0	8	20	58	0	NA	NA	NA	Volition	Deep Silver	09-Jun-2011	NA	OS: Windows® XP Processor: 2GHz Dual Core Processor (Intel Core 2 Duo or AMD Athlon™ X2) or higher Memory: 2GB System RAM or more Graphics: 320MB Video RAM, GPU w\/ Shader Model 3.0 support, NVIDIA® GeForce® 88xx series or better, ATI Radeon™ HD30xx series or better DirectX®: 9.0c Hard Drive: 7.5 GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound  	OS: Microsoft® Windows® 7 Processor: Any Quad Core Processor(Intel® Core i5 or AMD Phenom™ II X4) or 3.0+ Dual Core CPU Memory: 4GB System RAM or more Graphics: 1GB Video RAM, GPU w\/ Shader Model 4.0 support, NVIDIA® GeForce® GTX 400 series or better, ATI Radeon™ HD5000 series or better DirectX®: 11 Hard Drive: 7.5 GB Sound: 100% DirectX® 9.0C compliant sound card or equivalent onboard sound
PROTOTYPE 2	115320	Action, Adventure	Action, Open World, Gore, Superhero, Third Person, Violent, Adventure, Singleplayer, Zombies, Parkour, Hack and Slash, Sandbox, Sci-fi, Story Rich, Multiplayer, RPG, Horror, Atmospheric, Stealth, Co-op	13636	75.7	0	10	19	43	0	NA	NA	NA	Radical Entertainment	Activision	NA	NA	NA	NA
eXceed - Gun Bullet Children	207370	Action, Indie	Bullet Hell, Anime, Shoot 'Em Up, Action, Indie, 2D, Shooter, Arcade, Female Protagonist	489	46.4	0	1	0	NA	NA	NA	NA	NA	Flat Software	Nyu Media	02-Aug-2012	X	OS:Windows Vista®, XP, Windows 7 Processor:Pentium 1.0GHz or better Memory:128 MB RAM Graphics:Intel 915(900) or better DirectX®:8.0 Hard Drive:172 MB HD space	NA
eXceed 2nd - Vampire REX	207380	Action	Bullet Hell, Anime, Shoot 'Em Up, Action, Female Protagonist, Indie, Great Soundtrack, Cute, Arcade, 2D, Shooter	266	85.7	0	3	3	NA	NA	NA	NA	NA	Tennen-sozai	Nyu Media	02-Aug-2012	X	OS:Windows Vista®\/XP, Windows 7 Processor:Pentium 1.0GHz or better Memory:128 MB RAM Graphics:NDIVIA Geforce 5200 or better, AMD(ATI) Radeon 9600 or better, Intel 915(900) or better DirectX®:8.0 Hard Drive:781 MB HD space Sound:Standard	NA
eXceed 3rd - Jade Penetrate Black Package	207400	Action	Bullet Hell, Anime, Shoot 'Em Up, Action, Great Soundtrack, Arcade, Indie, Female Protagonist, Singleplayer, 2D, Cute, Shooter, Difficult	633	92.9	0	2	9	NA	NA	NA	NA	NA	Tennen-sozai	Nyu Media	02-Aug-2012	X	OS:Windows Me\/2000\/XP\/Vista\/Windows 7 Processor:Pentium 4 or better Memory:512 MB RAM Graphics:NDIVIA Geforce 5200 or better, AMD(ATI) Radeon 9600 or better DirectX®:8.0 Hard Drive:309 MB HD space Sound:Standard	NA
Galactic Civilizations I: Ultimate Edition	214150	Indie, Strategy	4X, Grand Strategy, Strategy, PvE, Turn-Based, Difficult, Turn-Based Strategy, 2D, Sandbox, Top-Down, Space, Sci-fi, Diplomacy, Building, Artificial Intelligence, Aliens, Futuristic, Resource Management, Singleplayer, Addictive	247	46.6	0	11	0	NA	NA	NA	NA	NA	Stardock Entertainment	Stardock Entertainment	14-Aug-2012	NA	OS:Windows 10 \/ 8 \/ 7 SP1 \/ Vista SP2 \/ XP SP3 Processor:600 MHz Processor Memory:128 MB RAM Graphics:8 MB DirectX 8.1 Compatible Video Card DirectX®:8.1 Hard Drive:700 MB HD space Sound:DirectX 8.1 Compatible Sound Card 	Processor:1 GHz Processor Memory:256 MB RAM Graphics:16 MB DirectX 8.1 Compatible Video Card
Fallen Enchantress	216390	Indie, RPG, Strategy	Strategy, RPG, Turn-Based, Fantasy, 4X, Indie, Singleplayer, Turn-Based Strategy, Grid-Based Movement, Tactical	267	64.4	0	20	0	NA	NA	NA	NA	NA	Stardock Entertainment	Stardock Entertainment	NA	X	NA	NA
Starvoid	200350		NA	0	NA	0	No time registered yet	No time registered yet	60	0	NA	NA	NA			NA	X	NA	NA
Telltale Texas Hold'Em	8330	Casual	Card Game, Casual, Gambling, Point & Click, Turn-Based Tactics, Psychological Horror, Singleplayer, Horror, Turn-Based, Simulation, Turn-Based Strategy, Card Battler, Clicker, Colorful, Cute, 2D, Comedy, Post-apocalyptic, Survival Horror, Inventory Management	231	55.8	0	1	3	NA	NA	NA	NA	NA	Telltale	Telltale	17-Jun-2008	NA	OS: Windows XP and VistaProcessor: 1.5GHz processorMemory: 256MB RAMGraphics: 32MB 3D-accelerated video card	NA
Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal	31170	Adventure, RPG	Adventure, Point & Click, Comedy, Pirates, Episodic, Puzzle, Singleplayer, Funny, Story Rich, RPG, Great Soundtrack, Classic, Cult Classic, Retro, Escape Room	647	89	0	3	3	NA	NA	NA	NA	NA	Telltale	Telltale	07-Jul-2009	NA	OS: Windows XP \/ Vista                     Processor: 2.0 GHz + (3 GHz Pentium 4 or equivalent rec.)                     Memory: 512MB (1GB rec.)                     Graphics: 64MB DirectX 8.1-compliant video card (128MB rec.)                     DirectX®: Version 9.0c or better                     Sound: DirectX 8.1 sound device                    	NA
Tales of Monkey Island: Chapter 2 - The Siege of Spinner Cay 	31180	Adventure, RPG	Adventure, RPG, Point & Click, Puzzle, Great Soundtrack, Retro, Singleplayer, Remake, Cult Classic	121	90.1	0	3	3	NA	NA	NA	NA	NA	Telltale	Telltale	20-Aug-2009	NA	OS: Windows XP \/ Vista                     Processor: 2.0 GHz + (3 GHz Pentium 4 or equivalent rec.)                     Memory: 512MB (1GB rec.)                     Graphics: 64MB DirectX 8.1-compliant video card (128MB rec.)                     DirectX®: Version 9.0c or better                     Sound: DirectX 8.1 sound device                    	NA
Tales of Monkey Island: Chapter 3 - Lair of the Leviathan 	31190	Adventure, RPG	Remake, Cult Classic, Retro, RPG, Adventure, 1990's, Point & Click, Puzzle, Great Soundtrack, Singleplayer	101	92.1	0	3	3	NA	NA	NA	NA	NA	Telltale	Telltale	29-Sep-2009	NA	OS: Windows XP \/ Vista                     Processor: 2.0 GHz + (3 GHz Pentium 4 or equivalent rec.)                     Memory: 512MB (1GB rec.)                     Graphics: 64MB DirectX 8.1-compliant video card (128MB rec.)                     DirectX®: Version 9.0c or better                     Sound: DirectX 8.1 sound device                    	NA
Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood 	31200	Adventure, RPG	Adventure, RPG, Point & Click, Puzzle, Great Soundtrack, Retro, Singleplayer, Remake, Cult Classic, 1990's	120	80	0	3	4	NA	NA	NA	NA	NA	Telltale	Telltale	30-Oct-2009	NA	OS: Windows XP \/ Vista                     Processor: 2.0 GHz + (3 GHz Pentium 4 or equivalent rec.)                     Memory: 512MB (1GB rec.)                     Graphics: 64MB DirectX 8.1-compliant video card (128MB rec.)                     DirectX®: Version 9.0c or better                     Sound: DirectX 8.1 sound device                    	NA
Tales of Monkey Island: Chapter 5 - Rise of the Pirate God	31210	Adventure, RPG	Adventure, RPG, Point & Click, Puzzle, Great Soundtrack, Retro, Singleplayer, Remake, 1990's, Cult Classic	134	88.8	0	3	4	NA	NA	NA	NA	NA	Telltale	Telltale	NA	NA	OS: Windows XP \/ Vista                     Processor: 2.0 GHz + (3 GHz Pentium 4 or equivalent rec.)                     Memory: 512MB (1GB rec.)                     Graphics: 64MB DirectX 8.1-compliant video card (128MB rec.)                     DirectX®: Version 9.0c or better                     Sound: DirectX 8.1 sound device                    	NA
Sam & Max 101: Culture Shock	8200	Action, Adventure	Adventure, Point & Click, Action, Retro, Story Rich, Cult Classic, Great Soundtrack, 1990's, America, 2D	488	89.5	0	2	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	15-Jun-2007	X	Windows XP or Vista, 1.5GHz processor, 256MB RAM, 32MB 3D-accelerated video card	NA
Sam & Max 102: Situation: Comedy	8210	Action, Adventure	Adventure, Action, Point & Click, Comedy, Episodic	114	91.2	0	2	2	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	15-Jun-2007	X	Windows XP or Vista, 1.5GHz processor, 256MB RAM, 32MB 3D-accelerated video card	NA
Sam & Max 103: The Mole, the Mob and the Meatball	8220	Action, Adventure	Adventure, Action, Point & Click, Comedy, America, Story Rich, Cult Classic, Great Soundtrack, 2D, Retro, 1990's	101	86.1	0	2	2	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	15-Jun-2007	X	Windows XP or Vista, 1.5GHz processor, 256MB RAM, 32MB 3D-accelerated video card	NA
Sam & Max 105: Reality 2.0	8240	Action, Adventure	Adventure, Action, Point & Click	91	92.3	0	2	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	15-Jun-2007	X	Windows XP or Vista, 1.5GHz processor, 256MB RAM, 32MB 3D-accelerated video card	NA
Sam & Max 106: Bright Side of the Moon	8250	Action, Adventure	Adventure, Action, Point & Click	87	90.8	0	2	2	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	15-Jun-2007	X	Windows XP or Vista, 1.5GHz processor, 256MB RAM, 32MB 3D-accelerated video card	NA
Sam & Max 201: Ice Station Santa	8260	Adventure	Adventure, Cult Classic, Great Soundtrack, America, 2D, Point & Click, Retro, Funny, Story Rich, 1990's, Singleplayer	180	88.9	0	3	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	16-May-2008	X	Supported OS: Microsoft Windows® XP or Vista Processor: 1.5 MHz or higher Memory: 256MB (required), 512MB (recommended) Graphics: 32MB 3D-accelerated video card DirectX Version: DirectX® 8.0 or higher Hard Drive:  2GB  Sound: DirectX-compatible sound	NA
Sam & Max 202: Moai Better Blues	8270	Adventure	Adventure, Point & Click, Comedy	81	81.5	0	2	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	16-May-2008	X	Supported OS: Microsoft Windows® XP or Vista Processor: 1.5 MHz or higher Memory: 256MB (required), 512MB (recommended) Graphics: 32MB 3D-accelerated video card DirectX Version: DirectX® 8.0 or higher Hard Drive:  2GB  Sound: DirectX-compatible sound	NA
Sam & Max 203: Night of the Raving Dead	8280	Adventure	Adventure, Point & Click	77	88.3	0	3	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	16-May-2008	X	Supported OS: Microsoft Windows® XP or Vista Processor: 1.5 MHz or higher Memory: 256MB (required), 512MB (recommended) Graphics: 32MB 3D-accelerated video card DirectX Version: DirectX® 8.0 or higher Hard Drive:  2GB  Sound: DirectX-compatible sound	NA
Sam & Max 204: Chariots of the Dogs	8290	Adventure	Adventure, Point & Click	73	90.4	0	3	3	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	16-May-2008	X	Supported OS: Microsoft Windows® XP or Vista Processor: 1.5 MHz or higher Memory: 256MB (required), 512MB (recommended) Graphics: 32MB 3D-accelerated video card DirectX Version: DirectX® 8.0 or higher Hard Drive:  2GB  Sound: DirectX-compatible sound	NA
Sam & Max 205: What's New Beelzebub?	8300	Adventure	Adventure, Point & Click	70	87.1	0	3	4	NA	NA	NA	NA	NA	Telltale Games	Skunkape Games	16-May-2008	X	Supported OS: Microsoft Windows® XP or Vista Processor: 1.5 MHz or higher Memory: 256MB (required), 512MB (recommended) Graphics: 32MB 3D-accelerated video card DirectX Version: DirectX® 8.0 or higher Hard Drive:  2GB  Sound: DirectX-compatible sound	NA
Bone: Out from Boneville	8310	Adventure	Adventure, Point & Click, Puzzle, Comic Book, Fantasy	186	52.7	0	2	2	NA	NA	NA	NA	NA	Telltale Games	Telltale Games	17-Jun-2008	X	OS: Windows XP or Vista Processor: 1.5GHz processor Memory: 256MB RAM Graphics: 32MB 3D-accelerated video card	NA
Bone: The Great Cow Race	8320	Adventure	Adventure, Point & Click	104	60.6	0	3	3	NA	NA	NA	NA	NA	Telltale Games	Telltale Games	17-Jun-2008	X	OS: Windows XP or Vista Processor: 1.5GHz processor Memory: 256MB RAM Graphics: 32MB 3D-accelerated video card	NA
Darksiders II	50650	Action, Adventure, RPG	Action, Adventure, RPG, Hack and Slash, Third Person, Open World, Fantasy, Singleplayer, Loot, Action RPG, Great Soundtrack, Controller, Spectacle fighter, Puzzle, Stylized, Metroidvania, Action-Adventure, Post-apocalyptic, Beat 'em up, Platformer	6220	90.2	0	21	44	50	0	NA	NA	NA	Vigil Games	Nordic Games	NA	X	OS: Windows XP, Windows Vista SP1 or Windows 7  Processor: 2.0Ghz Intel® Core™2 Duo Processor or AMD equivalent  Memory: 2GB  Graphics: NVIDIA 9800 GT 512 MB Video Card or AMD equivalent  DirectX®:  Hard Drive: 20 GB space free (10 GB free after install)  Sound:  	OS: Windows 7 Processor: Any Quad-core AMD or Intel Processor  Memory: 2GB Graphics: NVIDIA GeForce GTX 260 512MB Video Card or AMD equivalent  DirectX®:  Hard Drive: 20 GB space free (10 GB free after install)  Sound: 
Uplink	1510	Indie, Strategy	Hacking, Indie, Strategy, Singleplayer, Cyberpunk, Simulation, Sci-fi, Real-Time with Pause, 2D, Experimental, Atmospheric, Story Rich, Puzzle, Programming, Perma Death, Rogue-like, Text-Based, Immersive Sim, Time Management, Typing	2233	91.4	0	8	28	NA	NA	NA	NA	NA	Introversion Software	Introversion Software	23-Aug-2006	NA	NA	NA
Fieldrunners	209690	Strategy, Indie, Casual	Tower Defense, Strategy, Indie, Casual, Singleplayer, Touch-Friendly	293	63.8	0	7	57	93	0	NA	NA	NA	Subatomic Studios LLC	Subatomic Studios LLC	24-May-2012	NA	OS: Microsoft Windows XP or later Processor: 1.6 GHz Processor Memory: 512 MB RAM Hard Disk Space: 285MB Free Hard Drive Space  Video Card: hardware and driver support for OpenGL 3.0 DirectX&reg;: 9.0c	NA
Luxor Amun Rising HD	216930	Casual	Casual, Match 3, Puzzle	60	76.7	0	5	18	NA	NA	NA	NA	NA	MumboJumbo	Accelerate Games	03-Sep-2012	NA	OS:Windows Vista, XP, 7 Processor:800 MHz Memory:128 MB RAM DirectX®:9.0 Hard Drive:512 MB HD space	NA
Counter-Strike	10	Action	Action, FPS, Multiplayer, Shooter, Classic, Team-Based, First-Person, Competitive, Tactical, 1990's, e-sports, PvP, Old School, Military, Strategy, Survival, Score Attack, 1980s, Assassin, Nostalgia	221789	97.5	0	29	564	NA	NA	NA	NA	NA	Valve	Valve	01-Nov-2000	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Counter-Strike: Condition Zero	80	Action	Action, FPS, Shooter, Multiplayer, First-Person, Singleplayer, Classic, Tactical, Team-Based, Competitive, Military, Strategy, Online Co-Op, Adventure, Survival, Atmospheric, Old School, Open World, Dark, Simulation	23162	91.3	0	4	17	NA	NA	NA	NA	NA	Valve	Valve	01-Mar-2004	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Counter-Strike: Condition Zero Deleted Scenes	100	Action	Action, FPS, Shooter, Multiplayer, First-Person, Classic, Singleplayer, Tactical, Team-Based, Competitive, Strategy, Online Co-Op, Military, Masterpiece, Adventure, Survival, Atmospheric, Open World, Simulation, Dark	14977	89.8	0	6	8	NA	NA	NA	NA	NA	Valve	Valve	01-Mar-2004	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Overlord	11450	RPG	Hack and Slash, Dark Fantasy, Puzzle, RTS, Villain Protagonist, Action RPG, Action-Adventure, RPG, Strategy, Third Person, Funny, Dark Humor, Open World, Story Rich, Action, Fantasy, Atmospheric, Comedy, Adventure, Multiplayer	5747	93.5	0	17	27	NA	NA	NA	NA	NA	Triumph Studios	Codemasters, Electronic Arts	26-Oct-2007	NA	MINIMUMSupported OS: Microsoft(R) Windows(R) XPProcessor: Pentium 4 2.4 GHz or Athlon XP 2400+RAM: 512MB RAMHard Drive: 4.5 GB availableVideo: GeForce FX5900 \/ Radeon 9500 or above DirectX Version: DirectX 9cSound: DirectX compatible sound cardMultiplayer is no longer availableSUPPORTED GRAPHICS CARDSATi Radeon: 9500, 9600, 9700, 9800, X300, X600, X700, X800, X1300, X1600, X1800, X1900, X1950nVidia: GeForce FX5900, FX5950, 6600, 6800, 7100, 7300, 7600, 7800, 7900, 7950, 8800Not compatible with all integrated sound\/graphics solutions (inc. Laptops) RECOMMENDEDSupported OS: Microsoft® Windows® XP\/VistaProcessor: Intel Core 2 Duo or Athlon 64 X2RAM: 1GB RAMVideo: GeForce 7800 or Radeon X1800	NA
Overlord: Raising Hell	12710	RPG	RPG, Action, Villain Protagonist, Dark Fantasy, Third Person, Fantasy, Singleplayer, Adventure, Comedy, Funny, Strategy, Dark Humor, Action RPG, Puzzle, RTS, Action-Adventure, Atmospheric, Story Rich, Hack and Slash, Open World	1928	93.3	0	8	33	NA	NA	NA	NA	NA	Triumph Studios	Codemasters, Electronic Arts	28-Feb-2008	NA	MINIMUMSupported OS: Windows XP\/VistaProcessor: Pentium® 4 2.4 GHz or Athlon 2400+Memory: 512 MB RAMGraphics: Any video card with 64MB or higherDirectX Version: DirectX® version 9.0c or higherHard Drive: 4.5 GB free	NA
Tiny Troopers	216110	Action, Indie, Strategy	Action, Indie, Strategy, Shooter, Zombies, Singleplayer, Top-Down Shooter, Multiplayer, Top-Down, Military	1186	81.3	0	4	6	25	0	NA	NA	NA	Kukouri	Wired Productions	24-Aug-2012	X	OS:Windows XP\/SP3\/ Windows Vista \/ Windows 7 Processor:Intel Core 2 Duo 1.8 GHz or AMD X2 64 2.0 Ghz Memory:2 GB RAM Graphics:256 MB HD 2600 or better \\ 256 MB Nvidia 7900 or better DirectX®:9.0c Hard Drive:500 MB HD space Sound:DirectX 9.0c Compatible	NA
Intrusion 2	214970	Action, Indie	Action, Indie, Platformer, 2D, Physics, Shooter, Sci-fi, Singleplayer, Side Scroller, Difficult, Great Soundtrack, Shoot 'Em Up, Mechs, Robots	1719	87.8	0	4	9	14	0	NA	NA	NA	Aleksey Abramenko	Aleksey Abramenko	11-Sep-2012	NA	OS:Windows XP, Vista, Windows 7 Processor:2 GHz Memory:1 GB RAM Graphics:DirecX 9 compatible DirectX®:9.0 Hard Drive:100 MB HD space Additional:supports XBox Controller 	Processor:2.4 GHz Memory:2 GB RAM Additional:supports XBox Controller
Thomas Was Alone	220780	Indie	Platformer, Indie, Narration, Minimalist, Puzzle, Great Soundtrack, Puzzle-Platformer, Story Rich, 2D, Atmospheric, Singleplayer, Funny, Family Friendly, Comedy, Short, Casual, Adventure, Relaxing, Colorful, Sci-fi	8932	93.9	0	4	4	35	0	NA	NA	NA	Bithell Games	Bithell Games	12-Nov-2012	NA	OS:Windows XP Processor:500 Mhz Memory:1 GB RAM DirectX®:7.0 Hard Drive:400 MB HD space	NA
Midnight Mysteries 3: Devil on the Mississippi	208630	Adventure, Casual	Adventure, Casual, Hidden Object, Point & Click, Puzzle	117	76.1	0	3	8	16	0	NA	NA	NA	MumboJumbo	Accelerate Games	28-Mar-2012	NA	OS: Windows Vista, Windows XP, Windows 7 Processor:1.6 GHz Memory:512 MB RAM DirectX®:9.0 Hard Drive:442 MB HD space	NA
Midnight Mysteries: Salem Witch Trials	208620	Adventure, Casual	Adventure, Casual, Hidden Object, Puzzle	138	65.2	0	3	6	14	0	NA	NA	NA	MumboJumbo	Accelerate Games	28-Mar-2012	NA	OS:Windows XP, Vista, 7 Processor:1.6 GHz Memory:512 MB RAM DirectX®:9.0 Hard Drive:480 MB HD space	NA
Little Inferno	221260	Adventure, Casual, Indie	Casual, Indie, Puzzle, Singleplayer, Funny, Satire, Short, Comedy, Great Soundtrack, Dark Humor, Adventure, Sandbox, Atmospheric, Story Rich, Dark, Touch-Friendly, 2D, Point & Click, Surreal, Parody 	11226	94.7	0	3	4	22	0	NA	NA	NA	Tomorrow Corporation	Tomorrow Corporation	19-Nov-2012	NA	OS: Win 7, Vista and XP Processor:1.5 Ghz RAM: 1GB Hard Drive: 200 MB Video Card: You will need a graphics card that supports Shader Model 2.0 or greater and DirectX 9.0c.	NA
Carrier Command: Gaea Mission	65740	Action, Strategy	Strategy, Action, RTS, Sci-fi, Naval Combat, Naval, Tactical, Open World, Singleplayer, Simulation, Remake, FPS	1083	47.6	0	15	57	45	0	NA	NA	NA	Bohemia Interactive	Bohemia Interactive	28-Sep-2012	NA	 MinimumOS: Windows XP, Windows Vista, Windows 7                Processor: Intel Core2Duo 2.2 GHz or AMD Dual-Core Athlon 2.5 GHz or faster                Memory: 2 GB                 Hard Disk Space: 4 GB HD space                                Video Card: NVIDIA GeForce 8800GT with Shader Model 3 and 512 MB VRAM or faster                 DirectX®: 9.0c                Sound: DirectX Audio compatible            RecommendedOS: Windows 7                Processor: Intel Core i5 or AMD Athlon Phenom X4 or faster                 Memory: 4 GB                                          Video Card: NVIDIA GeForce GTX460 with Shader Model 3 and 1 GB VRAM or faster                         	NA
The Book of Unwritten Tales: The Critter Chronicles	221830	Adventure, Indie	Adventure, Point & Click, Fantasy, Indie, Comedy, Singleplayer, Funny	414	84.3	0	7	10	34	0	NA	NA	NA	KING Art	THQ Nordic	05-Dec-2012	NA	 OS:Windowns XP SP3, Vista, 7, 8 Processor:2.4 GHz Memory:1 GB RAM Graphics:DirectX 9c compatible graphic card with 128 MB RAM, Pixelshader 2.0 DirectX®:9.0c Hard Drive:6 GB HD space 	OS:Windows XP SP3, Vista, 7, 8 Processor:3 GHz Memory:1 GB RAM Graphics:DirectX 9c compatible graphic card with 256 MB RAM, Pixelshader 2.0 DirectX®:9.0c Hard Drive:6 GB HD space 
Crazy Machines 1.5 New from the Lab	18450	Casual, Strategy	Casual, Strategy, Puzzle, Physics	2	50	0	NA	NA	NA	NA	NA	NA	NA	Fakt Software	Viva Media	12-Dec-2008	NA	OS: Windows 2000\/XP\/Vista                     Processor: 800 MHz CPU                     Memory: 128 MB RAM                     Graphics: DirectX 9 compatible graphic card with 32MB RAM                     DirectX Version: DirectX 9.0c                     Hard Drive: 100 MB fixed-disk-storage                     Sound Card: DirectX 9-compatible sound card                    	NA
Crazy Machines 1.5 Inventors Training Camp	18460	Casual, Strategy	Casual, Strategy, Puzzle, Physics	2	50	0	1	2	NA	NA	NA	NA	NA	Fakt Software	Viva Media	12-Dec-2008	NA	OS: Windows 2000\/XP\/Vista                     Processor: 800 MHz CPU                     Memory: 128 MB RAM                     Graphics: DirectX 9 compatible graphic card with 32MB RAM                     DirectX Version: DirectX 9.0c                     Hard Drive: 100 MB fixed-disk-storage                     Sound Card: DirectX 9-compatible sound card                    	NA
Crazy Machines	18420	Casual, Strategy	Puzzle, Casual, Strategy, Physics, Singleplayer	173	81.5	0	6	7	NA	NA	NA	NA	NA	Fakt Software	Viva Media	12-Dec-2008	NA	OS: Win 2000\/XP\/Vista                     Processor: 800 MHz CPU                     Memory: 128 MB RAM                     Graphics: DirectX 8 compatible graphics card with 32 MB RAM (TNT 2 or comparable)                     DirectX Version: 8.1 or higher                     Hard Drive: 60 MB free disk space                     Sound Card: DirectX 8 compatible soundcard                    	NA
Blood Bowl: Dark Elves Edition	11170		NA	0	NA	0	3	166	NA	NA	NA	NA	NA			NA	X	NA	NA
Viking: Battle for Asgard	211160	Action, Adventure	Action, Adventure, Hack and Slash, Vikings, Singleplayer, Fantasy, Third Person, Open World, Strategy, Mythology, Controller, RPG, Gore, Action RPG, Co-op	2214	48.7	0	13	20	50	0	NA	NA	NA	Creative Assembly, PC Port - Hardlight	SEGA	17-Oct-2012	NA	OS:Windows XP Service Pack 2, Windows Vista, Windows 7 Processor:Intel Core 2 Duo 2.2 GHz or AMD Athlon™ 64 X2 3800 or better Memory:2 GB RAM Graphics:GeForce 8600 GS, Radeon 3400 or better DirectX®:9.0c Hard Drive:6 GB HD space Sound:Direct X 9.0c compatible sound card and drivers Additional:Keyboard, mouse, optional controller 	OS:Windows XP Service Pack 2, Windows Vista, Windows 7 Processor:Intel Core 2 Duo 2.6 GHz or AMD Athlon 64 X2 4400 or better Memory:4 GB RAM Graphics:GeForce 9400 GT, Radeon 4350 or better DirectX®:9.0c Hard Drive:6 GB HD space Sound:Direct X 9.0c compatible sound card and drivers Additional:Keyboard, mouse, optional controller
7 Wonders: Ancient Alien Makeover	223000	Casual, Strategy	Casual, Match 3, Strategy, Puzzle, Singleplayer	271	85.2	0	6	12	26	0	NA	NA	NA	MumboJumbo	Accelerate Games	24-Oct-2012	NA	OS:Windows Vista, XP, 7 Processor:Pentium 4 @ 2.0 GHz Memory:1 GB RAM Graphics:128 MB  DirectX®:9.0 Hard Drive:200 MB HD space	NA
Legendary	16730	Action	Action, FPS, Shooter, First-Person, Horror, Singleplayer, Mythology, Multiplayer, Atmospheric, Werewolves, Gore	2462	54.3	0	5	7	NA	NA	NA	NA	NA	Spark Unlimited	SouthPeak Games	01-Dec-2008	NA	                     OS: Windows XP SP2 or Windows Vista                      Processor: 2.0+ GHZ Single Core Processor                      Memory: 512MB of System RAM                      Graphics: Nvidia 6200+ or ATI Radeon 9600+ Video Card                      Hard Drive: 10GB of Free Hard Drive Space                      	                     OS: Windows XP SP2 or Windows Vista                     Processor: 2.4+ GHZ Dual Core Processor                      Memory: 1GB of System RAM                      Graphics: Nvidia 7800GTX+ or ATI x1300+ Video Card                      Hard Drive: 10GB of Free Hard Drive Space                    
Runaway: The Dream of the Turtle	7220	Adventure	Adventure, Point & Click, Puzzle, Singleplayer, Comedy, Funny, 2D, Story Rich, Retro, Great Soundtrack, Classic, Casual	307	55.4	0	10	17	NA	NA	NA	NA	NA	Pendulo Studios	Focus Entertainment	14-Mar-2007	NA	  Windows 98\/ME\/2000\/XP Pentium IV 1.6 GHz \/ Athlon XP 1600+ 128 MB RAM (256 MB for Windows 2000\/XP) 32 MB DirectX 9-compliant video card (min 1024x768 16Bit) DirectX 9-compliant sound card DirectX 9 or higher (included on the disc) 2.5 GB free disk space(for minimal installation) Windows-compatible keyboard and mouse	NA
SpaceForce: Rogue Universe	3220		NA	0	NA	0	No time registered yet	No time registered yet	NA	NA	NA	NA	NA			NA	X	NA	NA
Aura: Fate of the Ages	65500	Adventure	Adventure, Point & Click, Puzzle, Singleplayer, Escape Room	192	58.3	0	6	6	NA	NA	NA	NA	NA	Streko Graphics	THQ Nordic	04-Oct-2010	NA	OS: Windows® 98SE\/ME\/2000\/XP Processor: 800 MHz Pentium® III Memory: 64 MB RAM (128 MB Recommended) Graphics: 32 MB DirectX 8\/9 Compatible 3D Video Card (or Higher) DirectX®:    DirectX 8.1 Hard Drive: 1.3 GB Hard Disk Space ( 2.4GB Recommended) Sound: 32 MB DirectX 8\/9 Compatible 3D Video Card (or Higher)	NA
