Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
River City Ransom: Underground	422810	Action, Indie, RPG	Action, Beat 'em up, Retro, Indie, RPG, Pixel Graphics, PvE, Action RPG, PvP, Local Co-Op, Online Co-Op, 2D, Co-op, Competitive, Open World, Cartoon, 4 Player Local, Local Multiplayer, Side Scroller, Great Soundtrack	2328	75.6443298969072	16.7	10	25	NA	Conatus Creative Inc.	Conatus Creative Inc.
Blackguards	249650	Action, Adventure, Indie, RPG, Strategy	RPG, Turn-Based, Strategy, Tactical, Fantasy, Indie, Singleplayer, Turn-Based Strategy, Adventure, Tactical RPG, Isometric, Hex Grid, Character Customization, Dark Fantasy, Turn-Based Tactics, Story Rich, Action, Difficult, CRPG, Turn-Based Combat	3490	61.9770773638968	16.6	41	49	NA	Daedalic Entertainment	Daedalic Entertainment
BloodRayne: Betrayal (Legacy)	281220	Action	Action, Hack and Slash, Female Protagonist, Platformer, 2D, Vampire, Gore, Singleplayer, Side Scroller, Anime, Difficult, Blood, Indie, Beat 'em up, Great Soundtrack, Horror	871	60.849598163031	16.5	5	11	NA	Abstraction Games	Ziggurat
Warhammer 40,000: Dawn of War III	285190	Action, Simulation, Strategy	Warhammer 40K, Strategy, RTS, Sci-fi, Multiplayer, Action, Games Workshop, MOBA, Singleplayer, Gore, Base-Building, War, Atmospheric, Tactical, Co-op, Great Soundtrack, Story Rich, Classic, Violent, Casual	20476	47.1332291463176	16.4	17	25	NA	Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	SEGA, Feral Interactive (Mac), Feral Interactive (Linux)
Plague Inc: Evolved	246620	Casual, Indie, Simulation, Strategy	Strategy, Simulation, Outbreak Sim, Indie, Singleplayer, Multiplayer, Zombies, Casual, Tactical, Replay Value, Post-apocalyptic, Addictive, Realistic, 2D, Difficult, Atmospheric, Early Access, Co-op, Sandbox, Survival	46305	94.4800777453839	16.3	4	47	NA	Ndemic Creations	Ndemic Creations
Tumblestone	269710	Action, Casual, Indie, Strategy	Indie, Casual, Action, Strategy, Puzzle, Match 3, Local Multiplayer, Singleplayer, 4 Player Local, Arcade, Local Co-Op, Co-op, 2D, Competitive, Split Screen, Multiplayer, Relaxing, Funny, Family Friendly, Hand-drawn	1812	76.3796909492274	16.2	21	25	NA	The Quantum Astrophysicists Guild	The Quantum Astrophysicists Guild
One Finger Death Punch	264200	Action, Casual, Indie	Action, 2D Fighter, Fast-Paced, Indie, Beat 'em up, Fighting, Singleplayer, Addictive, 2D, Martial Arts, Casual, Difficult, Arcade, Great Soundtrack, Rhythm, Epic, Mouse only, Blood, Gore, Funny	16002	98.0189976252968	16.0	7	33	NA	Silver Dollar Games	Silver Dollar Games
Euro Truck Simulator 2	227300	Indie, Simulation	Driving, Transportation, Simulation, Open World, Automobile Sim, Realistic, Moddable, Relaxing, Immersive Sim, Exploration, Economy, Management, Atmospheric, Multiplayer, Controller, Third Person, Family Friendly, Casual, Adventure, Indie	614252	97.3847866999212	16.0	45	422	NA	SCS Software	SCS Software
Always Sometimes Monsters	274310	Indie, RPG	Indie, RPG, RPGMaker, Story Rich, Pixel Graphics, Choices Matter, LGBTQ+, Casual, Singleplayer, Walking Simulator, Great Soundtrack, Adventure, Romance, Female Protagonist, 2D, Visual Novel, Nudity, Interactive Fiction, Horror, Life Sim	2390	74.8535564853556	15.5	9	13	NA	Vagabond Dog	Vagabond Dog
Risk of Rain	248820	Action, Indie, RPG	Action Roguelike, Rogue-like, Indie, Platformer, Action, Pixel Graphics, Great Soundtrack, Online Co-Op, Difficult, Perma Death, Co-op, 2D, Local Co-Op, Rogue-lite, Multiplayer, RPG, Singleplayer, Addictive, Replay Value, Survival	28613	93.6951735225247	15.4	4	53	NA	Hopoo Games	Chucklefish
