XCOM: Enemy Unknown	XCOM: Enemy Unknown	27	64	1	Exact	XCOM: Enemy Unknown	200510	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	NA	NA	NA	NA	NA	NA
Plants vs. Zombies: Game of the Year	Plants vs. Zombies	8	44	0.5	Non Exact	Plants vs. Zombies: Game of the Year	3590	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	NA	NA	NA	NA	NA	NA
Insanity Clicker	Insanity Clicker	0	69	1	Exact	Insanity Clicker	393530	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	NA	NA	NA	NA	NA	NA
Everyday Genius: SquareLogic	Everyday Genius: SquareLogic	17	0	1	Exact	Everyday Genius: SquareLogic	32150	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	NA	NA	NA	NA	NA	NA
Mafia II (Classic)	Mafia II	12	30	1	Exact	Mafia II (Classic)	50130	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	NA	NA	NA
Fallen Earth Classic	Fallen Earth	No time registered yet	No time registered yet	1	Exact	Fallen Earth Classic	113420	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	NA	NA	NA
Call of Duty: Modern Warfare 2 (2009)	Call of Duty: Modern Warfare 2	7	30	1	Exact	Call of Duty: Modern Warfare 2 (2009)	10180	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	NA	NA	NA
LOGistICAL 2	LOGistICAL 2	No time registered yet	No time registered yet	1	Exact	LOGistICAL 2	954270	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	NA	NA	NA	NA	NA	NA
Pincremental	Pincremental	8	0	1	Exact	Pincremental	1369470	NA	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	NA	NA	NA	NA
High Profits	High Profits	No time registered yet	No time registered yet	1	Exact	High Profits	545650	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	NA	NA	NA	NA	NA	NA
CasinoRPG	CasinoRPG	No time registered yet	No time registered yet	1	Exact	CasinoRPG	658970	NA	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	NA	NA	NA	NA
Terraria	Terraria	50	183	1	Exact	Terraria	105600	NA	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	NA	NA	NA	NA	NA
Zero Escape: The Nonary Games	Zero Escape: The Nonary Games	33	51	1	Exact	Zero Escape: The Nonary Games	477740	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	NA	NA	NA	NA	NA	NA
Castlevania Advance Collection	Castlevania Advance Collection	21	46	1	Exact	Castlevania Advance Collection	1552550	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	NA	NA	NA	NA	NA
ELDEN RING	Elden Ring	55	133	1	Exact	ELDEN RING	1245620	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	NA	NA	NA	NA	NA	NA
Alan Wake	Alan Wake	11	26	1	Exact	Alan Wake	108710	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	NA	NA	NA	NA	NA	NA
Batman: Arkham Asylum GOTY Edition	Batman: Arkham Asylum GOTY	11	25	1	Exact	Batman: Arkham Asylum GOTY Edition	35140	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA
STE : Save The Earth	STE : Save The Earth	No time registered yet	No time registered yet	1	Exact	STE : Save The Earth	823280	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA
Incremental Epic Breakers	NA	NA	NA	NA	NA	Incremental Epic Breakers	1535060	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA
The Settlers Online	The Settlers Online	No time registered yet	No time registered yet	1	Exact	The Settlers Online	354640	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	NA
Shop Heroes	Shop Heroes	No time registered yet	No time registered yet	1	Exact	Shop Heroes	506140	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA
Incremental Cubes	NA	NA	NA	NA	NA	Incremental Cubes	1690730	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA
Duke Nukem Forever	Duke Nukem Forever	9	21	1	Exact	Duke Nukem Forever	57900	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA
Spiral Knights	Spiral Knights	48	845	1	Exact	Spiral Knights	99900	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
HOARD	Hoard	8	39	1	Exact	HOARD	63000	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
Idle Racing GO: Car Clicker Tycoon	NA	NA	NA	NA	NA	Idle Racing GO: Car Clicker Tycoon	851110	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
Heroes of Might & Magic V: Tribes of the East	Heroes of Might and Magic V: Tribes of the East	20	49	0.94	Exact	Heroes of Might & Magic V: Tribes of the East	15370	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
Slay the Spire	Slay the Spire	11	206	1	Exact	Slay the Spire	646570	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
Idle Hunter	Idle Hunter	0	48	1	Exact	Idle Hunter	879470	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA
Darkest Dungeon	Darkest Dungeon	55	109	1	Exact	Darkest Dungeon®	262060	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	NA	NA	NA	NA
Rusty Hearts	Rusty Hearts	5	0	1	Exact	Rusty Hearts	36630	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA
Borderlands 2 RU	Borderlands 2: Ultimate Vault Hunter Upgrade Pack 2 - Digistruct Peak Challenge	1	1	0.2	Non Exact	Borderlands 2 RU	217490	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA
LOGistICAL: Russia	LOGistICAL: Russia	No time registered yet	No time registered yet	1	Exact	LOGistICAL: Russia	733500	NA	NA	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	NA	NA
Great Hero's Beard	Great Hero's Beard	0	31	0.94	Exact	Great Hero's Beard	935270	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	NA	NA	NA	NA	NA	NA
Ragnarok Clicker	Ragnarok Clicker	174	1160	1	Exact	Ragnarok Clicker	493370	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	NA	NA	NA	NA	NA	NA
Gems of War	Gems of War	94	0	1	Exact	Gems of War	329110	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA
Portal 2	Portal 2	9	21	1	Exact	Portal 2	620	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	NA	NA	NA	NA
Titan Quest: Immortal Throne	Titan Quest: Immortal Throne	15	39	1	Exact	Titan Quest: Immortal Throne	4550	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA
Harvest Seasons	Harvest Seasons	No time registered yet	No time registered yet	1	Exact	Harvest Seasons	772070	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA
Shadow Warrior Classic Redux	Shadow Warrior Classic Redux	9	15	1	Exact	Shadow Warrior Classic Redux	225160	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA
Blacklight: Retribution	Blacklight: Retribution	23	60	1	Exact	Blacklight: Retribution	209870	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA
Craft The World	Craft the World	36	152	1	Exact	Craft The World	248390	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA
Sanctum	Sanctum	8	55	1	Exact	Sanctum	91600	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA
Increlution	Increlution	184	0	1	Exact	Increlution	1593350	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA
Might & Magic: Clash of Heroes	Might and Magic: Clash of Heroes	25	36	0.91	Non Exact	Might & Magic: Clash of Heroes	61700	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	NA	NA	NA
Scream Collector	Scream Collector	0	391	1	Exact	Scream Collector	726390	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA
AirMech Strike	AirMech Strike	No time registered yet	No time registered yet	1	Exact	AirMech Strike	206500	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA
Idle Civilization	Idle Civilization	No time registered yet	No time registered yet	1	Exact	Idle Civilization	418910	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA
GRANDIA II HD Remaster	Grandia II	31	40	0.45	Non Exact	GRANDIA II HD Remaster	330390	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA
Torchlight	Torchlight	14	46	1	Exact	Torchlight	41500	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA
Sid Meier's Civilization V	Sid Meier's Civilization V	40	403	0.96	Exact	Sid Meier's Civilization V	8930	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA
Epic Battle Fantasy 4	Epic Battle Fantasy 4	20	35	1	Exact	Epic Battle Fantasy 4	265610	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA
Magic 2015	Magic: The Gathering - Duels of the Planeswalkers 2015	10	51	0.19	Non Exact	Magic 2015	255420	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA
Knights and Dungeons	NA	NA	NA	NA	NA	Knights and Dungeons	1359300	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	NA	NA	NA	NA
Mist Legacy	Mist Legacy	No time registered yet	No time registered yet	1	Exact	Mist Legacy	1259440	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA
Stardew Valley	Stardew Valley	52	157	1	Exact	Stardew Valley	413150	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA
Phoenix Wright: Ace Attorney Trilogy	Phoenix Wright: Ace Attorney Trilogy	60	73	1	Exact	Phoenix Wright: Ace Attorney Trilogy	787480	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA
Remaya Idle	Remaya Idle	2	28	1	Exact	Remaya Idle	731880	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA
Duke Nukem 3D: Megaton Edition	Duke Nukem 3D: Megaton Edition	10	22	1	Exact	Duke Nukem 3D: Megaton Edition	225140	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	NA	NA	NA	NA
Worms Reloaded	Worms: Reloaded	9	44	0.93	Exact	Worms Reloaded	22600	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA
Supply Chain Idle	Supply Chain Idle	No time registered yet	No time registered yet	1	Exact	Supply Chain Idle	946040	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA
Anno Online	Anno Online	No time registered yet	No time registered yet	1	Exact	Anno Online	336510	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA
Tap Adventure: Time Travel	Tap Adventure: Time Travel	No time registered yet	No time registered yet	1	Exact	Tap Adventure: Time Travel	596650	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA
