Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Afterfall InSanity Extended Edition	63.1	7.97	7	Intoxicate Studios	NA
Narita Boy	79.8	7.95	7	Studio Koba	30-Mar-2021
Age of Empires® III (2007)	90.8	7.93	15	Ensemble Studios	05-Jan-2012
STRAFE: Gold Edition	72.7	7.85	5	Pixel Titans	09-May-2017
The Room 4: Old Sins	98.8	7.82	4	Fireproof Games	11-Feb-2021
The Walking Dead	97.1	7.8	1	Telltale Games	24-Apr-2012
Eon Altar	85.7	7.8	14	Flying Helmet Games	22-Jun-2016
60 Parsecs!	87.2	7.8	2	Robot Gentleman	18-Sep-2018
Seven: Enhanced Edition	77.2	7.78	17	IMGN.PRO, Fool's Theory	01-Dec-2017
Microtransaction Simulator	86.4	7.78	1	chlsea	14-Sep-2017
Gato Roboto	95	7.77	3	doinksoft	30-May-2019
Goat Simulator	90.3	7.75	2	Coffee Stain Studios	01-Apr-2014
Full Metal Furies	91.4	7.75	10	Cellar Door Games	17-Jan-2018
Train Simulator	69.9	7.72	No time registered yet	Dovetail Games	17-Sep-2015
Ultra Street Fighter IV	89.8	7.68	2	Capcom	07-Aug-2014
Braid	93.9	7.68	5	Number None	10-Apr-2009
PUBG: BATTLEGROUNDS	57.2	7.68	108	KRAFTON, Inc.	21-Dec-2017
For Honor	69.1	7.65	7	Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte	13-Feb-2017
Company of Heroes	94.4	7.63	19	Relic Entertainment	11-Sep-2006
Guacamelee! Super Turbo Championship Edition	92.4	7.6	7	DrinkBox Studios	21-Aug-2014
Project CARS 2	80.8	7.58	25	Slightly Mad Studios	21-Sep-2017
Warhammer: End Times - Vermintide	80	7.57	8	Fatshark	23-Oct-2015
DiRT 3 Complete Edition	91.2	7.53	15	Codemasters Racing Studio, Feral Interactive (Mac)	NA
This Is the Police	83	7.45	20	Weappy Studio	02-Aug-2016
Disney Classic Games Aladdin and the Lion King	74.2	7.43	4	Digital Eclipse	29-Oct-2019
7 Grand Steps, Step 1: What Ancients Begat	53.2	7.42	10	Mousechief	07-Jun-2013
Sonic Mania	93.4	7.4	6	Christian Whitehead, Headcannon, PagodaWest Games	29-Aug-2017
Mad Max	91.8	7.37	20	Avalanche Studios	01-Sep-2015
Lines Infinite	91.3	7.35	3	Konstructors	24-Nov-2017
Titan Quest Anniversary Edition	91.1	7.32	32	Iron Lore Entertainment, THQ Nordic	31-Aug-2016
PURE	60.5	7.3	9	Black Rock Studio	NA
War for the Overworld	86	7.3	14	Brightrock Games	02-Apr-2015
What Remains of Edith Finch	95.6	7.27	2	Giant Sparrow	24-Apr-2017
Blur	NA	7.25	10	Bizarre Creations	NA
Icewind Dale: Enhanced Edition	90	7.25	31	Beamdog	30-Oct-2014
Monsti	61.9	7.25	0	Old Games	12-Sep-2016
Rogue Legacy	93	7.2	16	Cellar Door Games	27-Jun-2013
Mad Nords: Probably an Epic Quest	94.1	7.2	No time registered yet	Dragon's Games	02-Dec-2016
Dying Light	95.1	7.18	18	Techland	26-Jan-2015
Punch Club	80.7	7.18	10	Lazy Bear Games	08-Jan-2016
Squad	86.1	7.15	No time registered yet	Offworld Industries	23-Sep-2020
Disc Jam	76.4	7.13	3	High Horse Entertainment	07-Mar-2017
Mordheim: City of the Damned	70	7.08	12	Rogue Factor	19-Nov-2015
XCOM 2	84	7.08	33	Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)	04-Feb-2016
Train Valley	89.7	7	8	Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy	16-Sep-2015
MOTHERGUNSHIP	77.1	7	4	Grip Digital, Terrible Posture Games	17-Jul-2018
Abyss: The Wraiths of Eden	90.3	6.95	3	Artifex Mundi	03-Apr-2014
Vanquish	89.1	6.93	6	PlatinumGames, Little Stone Software	25-May-2017
99 Levels To Hell	62	6.92	7	Zaxis Games, B-evil	19-Feb-2014
1Quest	52.9	6.92	2	Ratz 'N' Godz, Storybird Games	03-Dec-2014
A Valley Without Wind	59.1	6.88	13	Arcen Games, LLC	24-Apr-2012
Football Manager 2018	66.2	6.88	213	Sports Interactive	NA
LEGO® Pirates of the Caribbean The Video Game	91.2	6.87	8	Traveller's Tales	06-Oct-2014
Albedo: Eyes from Outer Space	52.6	6.85	5	Z4G0 and Ivan Venturi Productions	10-Apr-2015
Gang Beasts	82.7	6.85	3	Boneloaf, Coatsink	12-Dec-2017
Hellblusser	93.6	6.85	1	Sokpop Collective	10-Aug-2021
Adventurezator: When Pigs Fly	70.6	6.82	No time registered yet	Pigasus Games	17-Sep-2015
Tales of Symphonia	85.7	6.82	47	BANDAI NAMCO Entertainment Inc.	01-Feb-2016
SYNTHETIK	94.4	6.82	No time registered yet	Flow Fire Games	15-Mar-2018
F1 2015	63	6.8	13	Codemasters, Feral Interactive (Linux)	09-Jul-2015
Epic Battle Fantasy 4	96.8	6.75	20	Matt Roszak	25-Feb-2014
Dungeons 2	81.3	6.72	15	Realmforge Studios	24-Apr-2015
Shantae and the Pirate's Curse	93.5	6.72	8	WayForward	23-Apr-2015
Battleborn	61.8	6.72	9	Gearbox Software	03-May-2016
Streets of Rage 4	92.5	6.72	3	Dotemu, Guard Crush, Lizardcube	30-Apr-2020
Dead Rising 4	55.9	6.7	10	Capcom Game Studio Vancouver, Inc.	14-Mar-2017
Seasons after Fall	80.9	6.68	6	Swing Swing Submarine	02-Sep-2016
Bayonetta	92.4	6.65	11	PlatinumGames	11-Apr-2017
Kerbal Space Program	94.9	6.62	116	Squad	27-Apr-2015
NeuroVoider	77.3	6.57	5	Flying Oak Games	31-Aug-2016
Umbrella Corps	29.6	6.57	4	CAPCOM	21-Jun-2016
