Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
So Many Cubes	30.2	3.7	No time registered yet	exagongames	06-Oct-2016
Data Hacker: Corruption	48.4	3.7	18	New Reality Games	22-Oct-2014
Portal 2	98.8	3.7	9	Valve	18-Apr-2011
DARK	52.7	3.7	7	Realmforge Studios	03-Jul-2013
I am weapon: Revival	69.1	3.7	No time registered yet	Krealit	23-Oct-2015
Midnight Carnival	36.2	3.7	No time registered yet	Delusional Games	22-Nov-2016
Democracy 3	74.5	3.7	6	Positech Games	14-Oct-2013
Dreamfall Chapters	82.9	3.7	22	Red Thread Games	21-Jul-2017
TransOcean: The Shipping Company	72.2	3.7	16	Deck13 Hamburg	23-Sep-2014
Cubicle Quest	74.1	3.6	No time registered yet	Ian Isaro	25-Feb-2015
Dinosaur Forest	56.6	3.6	1	Racing Bros	17-May-2017
DEADBOLT	96	3.6	6	Hopoo Games	14-Mar-2016
House of 1000 Doors: The Palm of Zoroaster Collector's Edition	90.9	3.6	3	Alawar	NA
House of 1,000 Doors - Family Secrets	92.5	3.6	3	Alawar	NA
X-Blades	61.8	3.6	7	Gaijin Entertainment	30-Apr-2009
FATE: The Cursed King	88.8	3.6	No time registered yet	WildTangent	19-Nov-2014
Burstfire	42.1	3.6	No time registered yet	Nacho Games	24-Sep-2015
ibb & obb	91.2	3.6	6	Sparpweed, Codeglue	26-May-2014
ENDLESS™ Space - Definitive Edition	80.4	3.6	16	AMPLITUDE Studios	04-Jul-2012
7 Days to Die	88.4	3.6	54	The Fun Pimps	13-Dec-2013
Nuclear Throne	96.3	3.6	17	Vlambeer	05-Dec-2015
Bud Spencer & Terence Hill - Slaps And Beans	92.4	3.6	3	Trinity Team	20-Apr-2018
System Shock 2	94.5	3.6	14	Nightdive Studios, Irrational Games, Looking Glass Studios	10-May-2013
Zeno Clash 2	77	3.6	6	ACE Team	30-Apr-2013
RADical ROACH Remastered	53.8	3.6	1	Pixel Puzzles	16-May-2014
UltraGoodness	75.5	3.6	0	Rasul Mono	02-Jun-2017
The Red Solstice	72.4	3.6	18	Ironward	09-Jul-2015
Spikit	80.2	3.6	0	Blastoid Entertainment	09-Aug-2016
Momodora: Reverie Under the Moonlight	93.9	3.6	4	Bombservice	04-Mar-2016
Observer	79.2	3.6	7	Bloober Team SA	15-Aug-2017
Barnyard Mahjong 3	60.7	3.6	3	EnsenaSoft	29-Jul-2016
The Elder Scrolls Online	81.8	3.6	42	ZeniMax Online Studios	22-May-2017
Sleeping Valley	33	3.5	0	White Dog Games	08-Oct-2016
Steredenn	87.8	3.5	2	Pixelnest Studio	01-Oct-2015
The Saint: Abyss of Despair	71.1	3.5	2	Happy Artist	02-Feb-2017
Spintires®	87.5	3.5	9	Oovee® Games	NA
Brothers - A Tale of Two Sons	94.6	3.5	3	Starbreeze Studios AB	03-Sep-2013
VVVVVV	96.3	3.5	2	Terry Cavanagh	07-Sep-2010
BioShock Remastered	79.2	3.5	11	2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)	15-Sep-2016
Superfrog HD	47.3	3.5	3	Team17 Digital Ltd	12-Sep-2013
FATE: Undiscovered Realms	78.8	3.5	13	WildTangent	17-Apr-2014
The Flame in the Flood	75.9	3.5	9	The Molasses Flood	24-Feb-2016
Gunnheim	40.6	3.5	No time registered yet	SIEIDI Ltd	16-Oct-2015
Apartment 666	33.6	3.5	1	I Need Play	03-Aug-2016
Lup	44.3	3.5	1	Leo B	01-Apr-2016
Anna's Quest	88.3	3.5	10	Daedalic Entertainment	02-Jul-2015
Hostile Waters: Antaeus Rising	76.4	3.5	20	Rage Software	30-Jan-2014
Rock of Ages 2	85	3.5	4	ACE Team	28-Aug-2017
The Shrouded Isle	70.7	3.5	4	Jongwoo Kim, Erica Lahaie, FX Bilodeau, Tanya Short	04-Aug-2017
POSTAL Redux	92.4	3.5	2	Running With Scissors	20-May-2016
The Dreamlord	39.3	3.5	No time registered yet	mesetts	13-Dec-2016
Abrix the robot	62.1	3.5	0	EJRGames	29-Apr-2016
Event[0]	80	3.5	2	Ocelot Society	14-Sep-2016
Sudden Strike 4	76.9	3.5	20	Kite Games	11-Aug-2017
Tribloos 2	83.8	3.5	0	BumpkinBrothers	30-Jan-2014
Aritana and the Harpy's Feather	90.4	3.5	3	Duaik Entretenimento	15-Aug-2014
Zup! 8	96.3	3.5	1	Quiet River	22-Feb-2018
Osmos	87.4	3.5	6	Hemisphere Games	18-Aug-2009
HackyZack	67.4	3.5	4	Spaceboy Games	28-Mar-2017
Insurgency	91.8	3.4	8	New World Interactive	22-Jan-2014
Into the Dark	43.3	3.4	4	Homegrown Games	01-May-2014
Duke Nukem 3D: Megaton Edition	97.4	3.4	10	3D Realms, General Arcade	NA
The Incredible Adventures of Van Helsing II	68.7	3.4	10	NeocoreGames	13-Jun-2014
Need for Speed: SHIFT	77.1	3.4	13	Slightly Mad Studios	06-Oct-2009
Loren The Amazon Princess	82.2	3.4	11	Winter Wolves	15-Jan-2014
Coin Crypt	86.7	3.4	5	Greg Lobanov	28-Oct-2014
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™	95.7	3.4	7	Ubisoft Montpellier	25-Jun-2014
Sorry, James	79.5	3.4	3	Konstructors	10-Nov-2017
The Room Two	97.8	3.4	3	Fireproof Games	05-Jul-2016
Dead Island Riptide	86.5	3.4	12	Techland	NA
Invasion: Brain Craving	42.4	3.4	No time registered yet	New Reality Games	22-Jun-2016
Snakebird	93.2	3.4	8	Noumenon Games	04-May-2015
Enigmatis: The Ghosts of Maple Creek	84.4	3.4	4	Artifex Mundi	16-Oct-2014
Hyper color ball	44.5	3.4	0	Czester16	02-Sep-2016
Oath of Genesis	0	3.4	NA	NoteMode Studios	NA
Ring Runner: Flight of the Sages	83.7	3.4	17	Triple.B.Titles	19-Nov-2013
Level 22: Gary’s Misadventures	67.3	3.4	3	Moving Player	11-Feb-2016
Transcripted	94.3	3.4	4	Alkemi	NA
Skyborn	87	3.4	8	Dancing Dragon Games	21-Feb-2014
Bloodsports.TV	77.1	3.4	No time registered yet	Toadman Interactive, Fatshark	30-Mar-2015
Oknytt	92.1	3.4	5	Nemoria Entertainment	04-Apr-2014
Night Blights	90.9	3.4	2	Trapdoor Games, Hot Cross Games	15-Apr-2016
Silence of the Sleep	75.3	3.4	6	Jesse Makkonen	01-Oct-2014
Deep Space Dash	29.9	3.4	No time registered yet	Delusional Games	07-Jul-2016
Streets of Chaos	34.1	3.3	1	SimProse Studios	28-Jan-2015
Atonement 2: Ruptured by Despair	72.1	3.3	0	Astronomic Games	18-Oct-2016
Desolate Wastes: Vendor Chronicles	55.4	3.3	0	Rotatipyra	21-Jul-2017
The Void	81.2	3.3	25	Ice-Pick Lodge	15-Dec-2009
Hero of the Kingdom II	94.4	3.3	5	Lonely Troops	20-Feb-2015
Expert Rifleman - Reloaded	62.1	3.3	No time registered yet	BattleByte	14-Aug-2015
Mount Your Friends	95.3	3.3	2	Stegersaurus Software Inc.	29-Jul-2014
FINAL FANTASY V	77	3.3	32	Square Enix	24-Sep-2015
Freebie	73.6	3.3	0	Free Games Info, hyperboreanGames	16-Jun-2016
The Norwood Suite	87.3	3.3	2	Cosmo D	02-Oct-2017
Germ Wars	54.2	3.3	0	Svarog Studios	21-Nov-2016
Q.U.B.E. 2	84.5	3.3	5	Toxic Games	13-Mar-2018
CHRONO TRIGGER	87.2	3.3	23	Square Enix	27-Feb-2018
Emily is Away Too	93.6	3.3	2	Kyle Seeley	26-May-2017
Street Fighter X Tekken	55.3	3.3	2	Capcom U.S.A., Inc.	NA
The Turing Test	87.6	3.3	5	BULKHEAD	30-Aug-2016
Velocibox	88.4	3.3	2	Shawn Beck	08-Sep-2014
Clergy Splode	42.4	3.2	0	PiGravity	17-Sep-2015
Legends of Eisenwald	76.5	3.2	24	Aterdux Entertainment	02-Jul-2015
Kathy Rain	92.5	3.2	6	Clifftop Games	05-May-2016
Little Racers STREET	82.8	3.2	8	Milkstone Studios	06-Feb-2014
Ampu-Tea	62.5	3.2	1	ProjectorGames	30-May-2014
AER Memories of Old	86.3	3.2	3	Forgotten Key	25-Oct-2017
Kivi, Toilet and Shotgun	50.9	3.2	No time registered yet	16bit Nights	15-Jan-2016
Insincere	49.8	3.2	2	Astronomic Games	12-May-2016
qop	91.6	3.2	1	Quiet River	13-Jul-2017
BlazeRush	88	3.2	7	Targem Games	28-Oct-2014
ONE PIECE BURNING BLOOD	79.8	3.2	5	Spike Chunsoft Co., Ltd.	01-Sep-2016
Kingdom: Classic	90.5	3.2	7	Noio, Licorice	21-Oct-2015
Strangers in a Strange Land	57.3	3.1	5	SOMG	27-Jul-2017
Sometimes: Success Requires Sacrifice	71.7	3.1	0	Volens Nolens Games	27-Feb-2015
Sheltered	81.1	3.1	23	Unicube, Team 17 Digital Ltd	15-Mar-2016
Riptide GP2	89.6	3.1	7	Vector Unit	07-Mar-2014
SteamWorld Dig	93.6	3.1	5	Image & Form Games	05-Dec-2013
Dreaming Sarah	91.1	3.1	2	Asteristic Game Studio, Anthony Septim	12-Mar-2015
Killer is Dead	75.5	3.1	7	KADOKAWA GAMES \/ GRASSHOPPER MANUFACTURE	23-May-2014
New kind of adventure	41.1	3.1	2	Mint Age Studios	04-Jun-2015
Dead Army - Radio Frequency	61.9	3.1	3	Skyjaz Games	29-Mar-2019
Chip	83.2	3.1	5	Coatsink	25-Apr-2014
Mother Simulator	83.4	3.1	2	Steppe Hare Studio	22-May-2018
Geometry Dash	93.5	3.1	16	RobTop Games	22-Dec-2014
Stories: The Path of Destinies	88.3	3.1	5	Spearhead Games	12-Apr-2016
Hero Quest: Tower Conflict	28.1	3.1	No time registered yet	Mihai Morosanu	13-Apr-2016
Gnomoria	76.7	3.1	No time registered yet	Robotronic Games	23-Feb-2016
Shadow Warrior Classic Redux	90.6	3.1	9	General Arcade	08-Jul-2013
LIMBO	93.5	3.1	4	Playdead	02-Aug-2011
THOTH	83.8	3.1	2	Carlsen Games	07-Oct-2016
Koi-Koi Japan [Hanafuda playing cards]	93	3.1	6	Zoo Corporation	27-Apr-2015
Space Pilgrim Episode I: Alpha Centauri	87.9	3.1	1	Pilgrim Adventures, GrabTheGames Studios	21-Dec-2015
LEAVES - The Journey	80.6	3.1	4	ZAR 21	07-Mar-2017
LEAVES - The Return	86.5	3.1	3	ZAR 21	14-Mar-2017
Candle	78.4	3.1	8	Teku Studios	11-Nov-2016
Hurtworld	76.3	3.1	0	Bankroll Studios	10-Dec-2019
Absolute Drift	88.4	3.1	3	Funselektor Labs Inc., FlippFly	29-Jul-2015
Sid Meier's Ace Patrol: Pacific Skies	61.9	3.1	3	Firaxis Games	05-Nov-2013
Ryse: Son of Rome	86.1	3.1	6	Crytek	10-Oct-2014
Killing Floor 2	87.7	3.1	13	Tripwire Interactive	18-Nov-2016
Orbital Gear	83	3.1	0	Night Node	07-Aug-2014
[Old Edition] Croixleur Sigma	79.6	3	1	souvenir circ.	30-Apr-2014
The Bug Butcher	90.5	3	2	Awfully Nice Studios	19-Jan-2016
Battlepaths	69.4	3	9	Key17 Games	30-May-2014
Wrath of Anna	34.1	3	No time registered yet	Lorenzo Ent., Michael L. Fiorentino Gutierrez	02-Apr-2018
Wuppo - Definitive Edition	94.8	3	8	Knuist & Perzik	29-Sep-2016
Adventure Time: Finn and Jake Investigations	76	3	9	Vicious Cycle Software	NA
THE KING OF FIGHTERS 2002 UNLIMITED MATCH	94.9	3	2	SNK CORPORATION, Code Mystics	27-Feb-2015
Pressure	80.1	3	3	Chasing Carrots	NA
The Samaritan Paradox	72.3	3	6	Faravid Interactive	18-Apr-2014
POSTAL	88	3	3	Running With Scissors	14-Nov-1997
Portal	98.5	3	3	Valve	10-Oct-2007
Stellar 2D	39.6	3	2	quad games	30-Jul-2015
Mutiny!!	87.9	3	5	Lupiesoft	20-Oct-2017
Onikira: Demon Killer	39.2	3	4	Digital Furnace Games	27-Aug-2015
Out of the Park Baseball 15	97.3	3	6	Out of the Park Developments	NA
Steel Storm: Burning Retribution	60.9	3	5	Kot in Action Creative Artel	11-May-2011
Polychromatic	96.4	2.9	No time registered yet	Brushfire Games	02-Oct-2015
Zup! 2	95.6	2.9	1	Quiet River	05-Dec-2016
Dead or Alive 5 Last Round	67.1	2.9	4	Team NINJA, KOEI TECMO GAMES CO., LTD.	30-Mar-2015
Tower of Guns	80.5	2.9	3	Terrible Posture Games	04-Mar-2014
Guns of Icarus Online	90.1	2.9	7	Muse Games	29-Oct-2012
Football Manager 2014	NA	2.9	456	Sports Interactive	NA
I Have No Mouth, and I Must Scream	88.6	2.8	6	Cyberdreams	17-Oct-2013
Fall Guys	81.3	2.8	9	Mediatonic	03-Aug-2020
Farnham Fables	70.4	2.8	1	Ethrea Dreams	20-Jun-2016
Hatred	81	2.8	3	Destructive Creations	01-Jun-2015
Hell Girls	88	2.8	6	Athena Works	12-Jan-2017
Fall of Civilization	39.4	2.8	No time registered yet	Luke Dodds	19-Sep-2016
Time Ramesside (A New Reckoning)	19.2	2.8	No time registered yet	Panzer Gaming Studios	29-Apr-2015
Killing Floor	95	2.8	18	Tripwire Interactive	14-May-2009
Flesh Eaters	71.4	2.8	2	S.C. 16 BIT NIGHTS S.R.L.	03-May-2016
Colin McRae Rally	43.3	2.8	10	Codemasters Digital	30-Jul-2014
Vanguard Princess	70.2	2.8	1	Tomoaki Sugeno	03-Mar-2014
Metro: Last Light	NA	2.8	10	4A Games	NA
YAIBA: NINJA GAIDEN Z	64.5	2.8	6	Spark Unlimited, comcept Inc., Team NINJA	21-Mar-2014
The Culling Of The Cows	74.4	2.8	2	Pixel Puzzles	09-May-2014
Terra Incognita Chapter One: The Descendant	64.9	2.8	3	Back To Basics Gaming	03-Feb-2015
G-Force	94.2	2.7	9	Eurocom	06-Oct-2014
Porcunipine	77.5	2.7	No time registered yet	Big Green Pillow	21-May-2015
Zup!	94.4	2.7	0	Quiet River	04-Oct-2016
InFlux	68.1	2.7	3	Impromptu Games	18-Sep-2013
Heavy Bullets	82.3	2.7	6	Terri Vellmann, Doseone	18-Sep-2014
The Fall	87.9	2.7	3	Over The Moon	30-May-2014
BATTLE PIXELS	56.9	2.7	No time registered yet	AppyArt Games	14-Jan-2016
Flight Sim World	60	2.7	No time registered yet	Dovetail Games	NA
$1 Ride	47	2.7	1	BeHappy Studios	28-Jul-2016
BioShock Infinite	93.9	2.7	12	Irrational Games, Virtual Programming (Linux)	25-Mar-2013
FINAL FANTASY VI	82	2.7	35	Square Enix	16-Dec-2015
Frozen Synapse Prime	63.8	2.7	18	Double Eleven	14-Nov-2014
Unforgiving Trials: The Darkest Crusade	63.8	2.6	11	Amaterasu Software	15-Jun-2016
The Blue Flamingo	46.1	2.6	0	Might and Delight	18-Nov-2014
GRID 2	83.8	2.6	17	Codemasters Racing	NA
Shadowrun Chronicles - Boston Lockdown	59.2	2.6	23	Cliffhanger Productions	28-Apr-2015
Two Digits	71.6	2.6	4	Cleverweek	22-May-2015
Stronghold 3	31.7	2.6	7	FireFly Studios	25-May-2012
Velocity®Ultra	75.4	2.6	4	Curve Studios, FuturLab	12-Dec-2013
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION	89.6	2.6	1	SNK CORPORATION, Code Mystics	16-Dec-2014
Broken Sword 5 - the Serpent's Curse	88.8	2.6	6	Revolution Software Ltd	04-Dec-2013
Master Reboot	75.4	2.6	4	Wales Interactive	29-Oct-2013
Final Fantasy III (3D Remake)	82.6	2.6	19	Square Enix	27-May-2014
Never Alone (Kisima Ingitchuna)	81	2.6	3	Upper One Games, E-Line Media	18-Nov-2014
The Architect	65.6	2.6	No time registered yet	Spooky Star	04-Jun-2015
Yury	47.2	2.6	1	Cubic Pie	09-Dec-2014
Worms World Party Remastered	51.5	2.6	9	Team17 Digital Ltd	16-Jul-2015
DmC Devil May Cry	93.4	2.6	9	Ninja Theory	24-Jan-2013
Red Faction: Guerrilla Steam Edition	90.3	2.6	13	Volition, Reactor Zero, THQ Nordic	15-Sep-2009
Trine 3: The Artifacts of Power	64.2	2.6	5	Frozenbyte	20-Aug-2015
Psychonauts	95.2	2.6	12	Double Fine Productions	11-Oct-2006
FEMINAZI: The Triggering	80.3	2.6	0	hyperboreanGames, Svarog Studios	20-Feb-2017
Deus Ex: Human Revolution - Director's Cut	92.2	2.6	23	Eidos Montreal	25-Oct-2013
Dungeon Siege	80.5	2.6	28	Gas Powered Games	05-Apr-2011
Demonicon	68.3	2.6	13	Noumena Studios	24-Oct-2013
The Magic Circle	92.5	2.6	3	Question	09-Jul-2015
BloodRayne	78.5	2.6	7	Terminal Reality	14-Sep-2006
Nightmares from the Deep 3: Davy Jones	95.4	2.6	4	Artifex Mundi	29-Jan-2015
Lara Croft GO	92.4	2.6	4	Square Enix Montréal	04-Dec-2016
Data Hacker: Reboot	58.9	2.6	No time registered yet	New Reality Games	17-Apr-2015
Data Hacker: Initiation	63.1	2.6	25	New Reality Games	21-Jul-2014
Frederic: Evil Strikes Back	84	2.6	2	Forever Entertainment S. A.	23-May-2014
Infinite Space III: Sea of Stars	70.7	2.6	No time registered yet	Digital Eel	29-Oct-2015
Mayjasmine episode01 What is God? 五月茉莉	69.8	2.6	6	Erotes Studio	02-Dec-2015
Dino D-Day	83.9	2.5	6	800 North and Digital Ranch	08-Apr-2011
Tower Wars	73.1	2.5	4	SuperVillain Studios	14-Aug-2012
Hitman: Absolution	91.7	2.5	12	Io-Interactive A\/S	19-Nov-2012
Crazy Machines 2	47.3	2.5	22	Fakt Software	20-Jun-2008
PAYDAY: The Heist	93.3	2.5	10	OVERKILL Software	20-Oct-2011
BloodRayne 2	72.1	2.5	9	Terminal Reality	14-Sep-2006
Faerie Solitaire	91	2.5	13	Subsoap	17-Sep-2010
Frederic: Resurrection of Music	83.6	2.5	2	Forever Entertainment S. A.	16-May-2014
Freedom Planet	95.2	2.5	5	GalaxyTrail	21-Jul-2014
The Journey Down: Chapter One	87.2	2.5	2	SkyGoblin	09-Jan-2013
Ravaged Zombie Apocalypse	43.1	2.5	2	2 Dawn Studios	NA
Zup! 5	93.8	2.5	1	Quiet River	13-Jun-2017
Betrayer	81.7	2.5	7	Blackpowder Games	24-Mar-2014
Overture	76.8	2.5	6	Black Shell Games	02-Feb-2015
The Ship	85.8	2.5	3	Outerlight Ltd.	11-Jul-2006
Type:Rider	79.6	2.5	2	Ex Nihilo, ARTE France	06-Nov-2013
Mount & Blade	92.6	2.5	43	TaleWorlds Entertainment	03-Nov-2008
Stacking	89.1	2.5	4	Double Fine Productions	06-Mar-2012
Transistor	94.4	2.5	6	Supergiant Games	20-May-2014
Gabe Newell Simulator	50.3	2.5	1	Antonio Renna	14-Dec-2015
Avalanche 2: Super Avalanche	85.8	2.5	5	Beast Games	11-Jun-2015
Explottens	93.8	2.5	No time registered yet	Playdew	NA
Super Meat Boy	94.8	2.5	10	Team Meat	30-Nov-2010
Tropico 5	78.4	2.5	21	Haemimont Games	23-May-2014
Bright Memory	91.6	2.5	1	FYQD-Studio	25-Mar-2020
Foul Play	80.1	2.4	4	Mediatonic	18-Sep-2013
Reus	78.5	2.4	8	Abbey Games	16-May-2013
Zup! 4	90.3	2.4	1	Quiet River	20-Feb-2017
Canyon Capers	44.9	2.4	4	CrazyMoo Games	25-Apr-2014
Crusader Kings II	90.1	2.3	66	Paradox Development Studio	14-Feb-2012
Guacamelee! Gold Edition	93.3	2.3	6	DrinkBox Studios	08-Aug-2013
Company of Heroes 2	78.6	2.3	15	Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)	25-Jun-2013
Final Quest II	40.9	2.3	No time registered yet	RPG Video	18-Oct-2016
Final Quest	40.8	2.3	No time registered yet	RPG Video	17-Aug-2016
BlobCat	93.4	2.3	5	BySamb	31-Aug-2017
The Inner World	90.7	2.3	7	Studio Fizbin	27-Sep-2013
Tomb Raider	96.2	2.3	11	Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes	04-Mar-2013
The Elder Scrolls V: Skyrim	94.9	2.3	34	Bethesda Game Studios	10-Nov-2011
冒险村传说（Tales of Legends）	40.7	2.3	No time registered yet	Gemini Stars Games	05-Feb-2017
Super Comboman	26.4	2.3	No time registered yet	Interabang Entertainment	NA
METAL GEAR SOLID V: GROUND ZEROES	83.2	2.3	2	Konami Digital Entertainment	18-Dec-2014
Millie	81.1	2.3	7	Forever Entertainment S. A.	18-Apr-2014
Serious Sam HD: The First Encounter	93.7	2.3	6	Croteam	24-Nov-2009
Hammerwatch	89.7	2.3	8	Crackshell	12-Aug-2013
Deponia: The Complete Journey	86.9	2.2	26	Daedalic Entertainment	08-Jul-2014
Costume Quest	93.4	2.2	6	Double Fine Productions	14-Oct-2011
Pixel Puzzles Ultimate	74.5	2.2	12	Pixel Puzzles	29-Aug-2022
The Dream Machine	87.7	2.2	13	Cockroach Inc.	11-May-2012
Victor Vran	86.2	2.2	10	Haemimont Games	24-Jul-2015
Chicku	89.3	2.2	No time registered yet	Gatling Goat Studios	05-May-2016
Eador. Masters of the Broken World	68.4	2.2	87	Snowbird Games	19-Apr-2013
Eldritch	87.7	2.2	4	Minor Key Games	21-Oct-2013
Loot Hunter	69.6	2.2	3	Rake in Grass	23-Jan-2015
Talisman: Prologue	56.7	2.2	1	Nomad Games	14-Oct-2013
Lost Planet 3	62.5	2.2	11	Spark Unlimited	26-Aug-2013
Draw a Stickman: EPIC	77.6	2.1	2	Hitcents	03-Dec-2013
Skara - The Blade Remains	58.1	2.1	No time registered yet	Atomic Kraken	27-Oct-2014
Her Story	89.6	2.1	2	Sam Barlow	24-Jun-2015
Astebreed: Definitive Edition	88.4	2.1	2	Edelweiss	30-May-2014
Caster	79.2	2.1	2	Elecorn	19-Mar-2009
The Bridge	87.8	2.1	4	Ty Taylor and Mario Castañeda, The Quantum Astrophysicists Guild	22-Feb-2013
Pizza Express	82.9	2.1	9	Onni Interactive	25-Jun-2015
Ethan: Meteor Hunter	61.5	2.1	10	Seaven Studio	07-Feb-2014
Cook, Serve, Delicious!	94.7	2.1	18	Vertigo Gaming Inc.	08-Oct-2013
Galcon Legends	39.4	2.1	1	Hassey Enterprises, Inc.	NA
Kumoon : Ballistic Physics Puzzle	71.4	2.1	0	Lucky You Studio	10-Nov-2015
Final Fantasy IV (3D Remake)	84.7	2.1	22	Square Enix, DotEmu SAS.	17-Sep-2014
Resident Evil Revelations 2	78.6	2.1	10	CAPCOM Co., Ltd.	24-Feb-2015
Quest for Infamy	84.6	2.1	11	Infamous Quests	10-Jul-2014
Cthulhu Saves the World	92.1	2.1	8	Zeboyd Games	13-Jul-2011
Party of Sin	50	2.1	4	Crankshaft Games	13-Dec-2012
Shadowrun Returns	88.6	2.1	12	Harebrained Schemes	25-Jul-2013
Mitsurugi Kamui Hikae	80.3	2.1	2	Zenith Blue	10-Mar-2014
Monaco	90.7	2.1	8	Pocketwatch Games	24-Apr-2013
Toybox Turbos	84.9	2.1	2	Codemasters	11-Nov-2014
Talisman: Digital Edition	78.5	2.1	2	Nomad Games	25-Feb-2014
The Dark Eye: Chains of Satinav	86.6	2.1	10	Daedalic Entertainment	22-Jun-2012
Serious Sam HD: The Second Encounter	92.9	2.1	7	Croteam	NA
NASCAR The Game: 2013	56.6	2.1	37	Eutechnyx	NA
The Banner Saga	89.1	2.1	11	Stoic	14-Jan-2014
Natural Selection 2	85.5	2.1	No time registered yet	Unknown Worlds Entertainment	30-Oct-2012
Full Bore	84.6	2.1	12	Whole Hog Games	06-May-2014
Frozen Synapse	82.5	2.1	24	Mode 7	26-May-2011
FINAL FANTASY IV: THE AFTER YEARS	63	2.1	35	Square Enix	11-May-2015
Unholy Heights	89.2	2.1	10	Petit Depotto	04-Oct-2013
StuntMANIA Reloaded	57	2.1	6	Sector3 Games	13-Nov-2014
Broken Age	83.6	2.1	4	Double Fine Productions	28-Jan-2014
Shadowrun: Dragonfall - Director's Cut	89.5	2.1	21	Harebrained Schemes	18-Sep-2014
Risen 2 - Dark Waters	79.7	2.1	1	Piranha Bytes	26-Apr-2012
Warlock - Master of the Arcane	86.4	2.1	11	Ino-Co Plus	08-May-2012
Mutant Mudds Deluxe	74.3	2.1	5	Renegade Kid	21-Nov-2013
Contagion	72.5	2.1	10	Monochrome, Inc	25-Oct-2013
Batman: Arkham City GOTY	95.9	2.1	14	Rocksteady Studios	07-Sep-2012
Saints Row: The Third	95.9	2.1	15	Volition	17-Nov-2011
Bardbarian	88.7	2.1	6	TreeFortress Games	01-Apr-2014
Cloud Chamber	61.9	2.1	6	Investigate North	NA
Tales from Space: Mutant Blobs Attack	90.8	2.1	4	DrinkBox Studios	15-Aug-2012
Chivalry: Medieval Warfare	82.5	2.1	15	Torn Banner Studios	16-Oct-2012
The Bureau: XCOM Declassified	70.1	2.1	10	2K Marin	22-Aug-2013
Stela	78.6	2.1	2	SkyBox Labs	13-Mar-2020
Zup! 3	90	2.1	1	Quiet River	12-Jan-2017
Hotline Miami	97.4	2.1	5	Dennaton Games	23-Oct-2012
Lucius	81	2.1	6	Shiver Games	26-Oct-2012
Giana Sisters: Twisted Dreams	78	2	7	Black Forest Games	22-Oct-2012
Mafia II (Classic)	95	2	12	2K Czech	22-Mar-2011
Duet	94.4	2	2	Kumobius	03-Aug-2015
Thief	74.1	2	11	Eidos-Montréal, Feral Interactive (Mac)	27-Feb-2014
Half-Life 2	97.5	2	13	Valve	16-Nov-2004
Paranormal State: Poison Spring Collector's Edition	76.6	2	4	Teyon	09-Apr-2014
Shadow Warrior	92.5	2	12	Flying Wild Hog	26-Sep-2013
Runespell: Overture	74.3	2	7	Mystic Box	20-Jul-2011
KickBeat Steam Edition	66.5	2	3	Zen Studios	20-Jan-2014
Edna & Harvey: Harvey's New Eyes	89.4	2	7	Daedalic Entertainment	16-Oct-2012
Fist Puncher	73.5	2	4	Team2Bit	21-Jun-2013
REVOLVER360 RE:ACTOR	92.6	2	2	Cross Eaglet	24-Oct-2014
Survivor Squad	66.3	2	16	Endless Loop Studios	21-Jan-2015
QP Shooting - Dangerous!!	93.3	2	9	Orange_Juice	14-Nov-2014
Kick-Ass 2	23.2	2	0	Freedom Factory	15-Aug-2014
Rome: Total War	94.5	2	34	CREATIVE ASSEMBLY	28-Aug-2007
The Sun at Night	48.8	2	No time registered yet	Minicore Studios	01-Aug-2014
Dungeons of Dredmor	94.1	2	17	Gaslamp Games, Inc.	13-Jul-2011
Pilgrims	96.4	2	1	Amanita Design	07-Oct-2019
Hero Siege	75.2	1.9	9	Panic Art Studios Ltd.	29-Jan-2014
Escape Machines	41.7	1.9	No time registered yet	Mint Age Studios	14-Apr-2015
Borderlands 2	93.8	1.9	30	Gearbox Software, Aspyr (Mac), Aspyr (Linux)	20-Sep-2012
Memoria	89.9	1.9	9	Daedalic Entertainment	29-Aug-2013
Super Toy Cars	57.7	1.9	2	Eclipse Games	06-Jun-2014
Outland	81	1.9	7	Housemarque	29-Sep-2014
The Rollingball's Melody	30	1.9	No time registered yet	Torkal Games	NA
Out There Somewhere	93.1	1.9	2	MiniBoss	14-Mar-2016
Edna & Harvey: The Breakout	84.6	1.9	9	Daedalic Entertainment	25-Oct-2013
Dead Space (2008)	91.5	1.8	12	EA Redwood Shores	09-Jan-2009
DOOM 64	94.1	1.8	7	id Software, Nightdive Studios	19-Mar-2020
Door Kickers	94.6	1.8	8	KillHouse Games	20-Oct-2014
Ion Assault	69	1.8	2	Coreplay	17-Nov-2010
Rust	86.9	1.8	23	Facepunch Studios	08-Feb-2018
Really Big Sky	75.6	1.8	5	Boss Baddie	24-Feb-2012
Post Apocalyptic Mayhem	84.2	1.8	1	Steel Monkeys	17-Mar-2011
