Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
GRID Autosport	77.7	9.4	33	Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)	26-Jun-2014
Chaos on Deponia	90.8	9.4	10	Daedalic Entertainment	06-Nov-2012
Resident Evil 7 Biohazard	94.9	9.4	9	CAPCOM Co., Ltd.	23-Jan-2017
Worms W.M.D	84.6	9.4	14	Team17	23-Aug-2016
Deponia	87.8	9.3	8	Daedalic Entertainment	06-Aug-2012
Solo	86.7	9.2	3	Team Gotham	26-Apr-2018
Dead Rising	88.6	9.2	12	Capcom	12-Sep-2016
Sonic & All-Stars Racing Transformed Collection	94	9.1	7	Sumo Digital	31-Jan-2013
Football Manager 2016	68.4	9.1	271	SPORTS INTERACTIVE	NA
Crash Bandicoot™ N. Sane Trilogy	92.9	9.1	15	Vicarious Visions, Iron Galaxy	29-Jun-2018
The Sims™ 3	86.6	9	51	The Sims Studio	27-Jan-2011
Gauntlet™	80.9	9	6	Arrowhead Game Studios	23-Sep-2014
8-Bit Adventures 1: The Forgotten Journey Remastered Edition	83.3	8.9	0	Critical Games	22-May-2015
Soul Axiom	72.4	8.9	13	Wales Interactive	29-Feb-2016
GRIS	96.6	8.9	4	Nomada Studio	13-Dec-2018
Turok 2: Seeds of Evil	92.1	8.8	11	Iguana Entertainment, Nightdive Studios	16-Mar-2017
Abyss Odyssey	62.5	8.8	4	ACE Team	15-Jul-2014
Call of Duty: Black Ops III	81.7	8.7	9	Treyarch, Aspyr (Mac)	05-Nov-2015
Blade Symphony	65.8	8.6	0	Puny Human	07-May-2014
Sid Meier's Civilization VI	84.6	8.6	22	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	20-Oct-2016
Lost Ark	71.9	8.6	46	Smilegate RPG	NA
Serious Sam 3: BFE	88.4	8.6	10	Croteam	22-Nov-2011
Little Nightmares	94.7	8.6	4	Tarsier Studios	27-Apr-2017
Angry Birds Space	90.3	8.5	5	Rovio Entertainment Ltd	NA
OVERKILL's The Walking Dead	51.6	8.5	9	OVERKILL - a Starbreeze Studio.	NA
Citizens of Earth	76	8.3	14	Eden Industries	20-Jan-2015
Gunman Clive	88.3	8.3	1	Hörberg Productions	03-Jan-2014
Dragon's Dogma: Dark Arisen	89.9	8.2	34	Capcom	15-Jan-2016
Pillars of Eternity	88.1	8.2	36	Obsidian Entertainment	26-Mar-2015
Call of Duty: WWII	66.2	8.2	7	Sledgehammer Games, Raven Software	02-Nov-2017
Double Dragon Neon	77.4	8.1	4	WayForward, Abstraction Games	06-Feb-2014
RUNNING WITH RIFLES	88.2	8.1	20	Osumia Games	02-Apr-2015
GALAK-Z	73.3	8.1	10	17-BIT	29-Oct-2015
Broken Sword 2 - the Smoking Mirror: Remastered	89.8	8.1	7	Revolution Software Ltd	02-Dec-2009
Gods Will Be Watching	70.9	8.1	6	Deconstructeam	24-Jul-2014
Batman™: Arkham Knight	84.9	8.1	16	Rocksteady Studios	23-Jun-2015
God Mode	70.2	8	9	Old School Games	19-Apr-2013
Shantae: Risky's Revenge - Director's Cut	85.7	8	5	WayForward	15-Jul-2014
Minion Masters	91.2	8	4	BetaDwarf	24-May-2019
Split/Second	79.7	8	10	Black Rock Studio	06-Oct-2014
Alan Wake	90.9	8	11	Remedy Entertainment	16-Feb-2012
Afterfall InSanity Extended Edition	63.1	8	7	Intoxicate Studios	NA
Narita Boy	80	8	7	Studio Koba	30-Mar-2021
Age of Empires® III (2007)	90.8	7.9	15	Ensemble Studios	05-Jan-2012
STRAFE: Gold Edition	72.7	7.9	5	Pixel Titans	09-May-2017
The Room 4: Old Sins	98.8	7.8	4	Fireproof Games	11-Feb-2021
The Walking Dead	97.1	7.8	1	Telltale Games	24-Apr-2012
60 Parsecs!	87.1	7.8	2	Robot Gentleman	18-Sep-2018
Eon Altar	86	7.8	14	Flying Helmet Games	22-Jun-2016
Microtransaction Simulator	86.6	7.8	1	chlsea	14-Sep-2017
Seven: Enhanced Edition	77.3	7.8	16	IMGN.PRO, Fool's Theory	01-Dec-2017
Gato Roboto	95	7.8	3	doinksoft	30-May-2019
Full Metal Furies	91.5	7.8	10	Cellar Door Games	17-Jan-2018
Goat Simulator	90.2	7.8	2	Coffee Stain Studios	01-Apr-2014
Train Simulator	69.7	7.7	No time registered yet	Dovetail Games	21-Apr-2022
PUBG: BATTLEGROUNDS	57	7.7	108	KRAFTON, Inc.	21-Dec-2017
Braid	93.9	7.7	5	Number None	10-Apr-2009
Ultra Street Fighter IV	89.6	7.7	2	Capcom	07-Aug-2014
For Honor	68.9	7.7	7	Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte	13-Feb-2017
Company of Heroes	94.4	7.6	19	Relic Entertainment	11-Sep-2006
Guacamelee! Super Turbo Championship Edition	92.4	7.6	7	DrinkBox Studios	21-Aug-2014
Project CARS 2	80.8	7.6	24	Slightly Mad Studios	21-Sep-2017
Warhammer: End Times - Vermintide	80	7.6	8	Fatshark	23-Oct-2015
DiRT 3 Complete Edition	91.2	7.5	15	Codemasters Racing Studio, Feral Interactive (Mac)	NA
This Is the Police	83	7.5	20	Weappy Studio	02-Aug-2016
Disney Classic Games Aladdin and the Lion King	77.7	7.4	4	Digital Eclipse	29-Oct-2019
7 Grand Steps, Step 1: What Ancients Begat	53.2	7.4	10	Mousechief	07-Jun-2013
Sonic Mania	93.3	7.4	6	Christian Whitehead, Headcannon, PagodaWest Games	29-Aug-2017
Mad Max	91.7	7.4	20	Avalanche Studios	01-Sep-2015
Titan Quest Anniversary Edition	91.1	7.3	31	Iron Lore Entertainment, THQ Nordic	31-Aug-2016
War for the Overworld	86	7.3	15	Brightrock Games	02-Apr-2015
PURE	60.5	7.3	9	Black Rock Studio	NA
What Remains of Edith Finch	95.6	7.3	2	Giant Sparrow	24-Apr-2017
Monsti	61.6	7.3	0	Old Games	12-Sep-2016
Icewind Dale: Enhanced Edition	89.7	7.3	32	Beamdog	30-Oct-2014
Blur	NA	7.3	10	Bizarre Creations	NA
Rogue Legacy	93	7.2	16	Cellar Door Games	27-Jun-2013
Mad Nords: Probably an Epic Quest	93.9	7.2	No time registered yet	Dragon's Games	02-Dec-2016
Punch Club	80.7	7.2	10	Lazy Bear Games	08-Jan-2016
Dying Light	95.1	7.2	17	Techland	26-Jan-2015
Squad	86.6	7.2	No time registered yet	Offworld Industries	23-Sep-2020
Disc Jam	76.5	7.1	3	High Horse Entertainment	07-Mar-2017
XCOM 2	84	7.1	33	Firaxis Games, Feral Interactive (Mac), Feral Interactive (Linux)	04-Feb-2016
Mordheim: City of the Damned	70	7.1	12	Rogue Factor	19-Nov-2015
Train Valley	89.6	7	7	Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy	16-Sep-2015
